Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
70,Nahuel Barrios,ARG,"MF,FW",San Lorenzo,24,1998,18.8,64.2,0.21,5.11,32.3,28.7,2.29,64.2,9.10,4.79,52.6,3.35,36.8,43.8,354.2,179.8,6.97,5.11,1.22,2.93,2.50,48.0,6.76,https://fbref.com/en/players/b2fabf7e/Nahuel-Barrios,b2fabf7e,Argentina Liga Profesional
71,Pier Barrios,ARG,DF,Godoy Cruz,32,1990,23.1,51.5,4.98,26.6,21.4,3.81,1.04,51.5,0.69,0.35,50.0,0.22,31.3,23.7,120.2,66.4,0.74,0.17,0.13,0.61,0.22,27.7,0.91,https://fbref.com/en/players/f910551d/Pier-Barrios,f910551d,Argentina Liga Profesional
72,Bautista Barros Schelotto,ARG,DF,Gimnasia ELP,23,2000,12.7,51.7,3.46,18.1,19.8,13.9,0.63,51.7,1.26,0.47,37.5,0.79,62.5,19.9,86.8,47.5,0.94,0.94,0.00,0.79,0.08,21.0,2.60,https://fbref.com/en/players/ab935d6a/Bautista-Barros-Schelotto,ab935d6a,Argentina Liga Profesional
73,Augusto Batalla,ARG,GK,San Lorenzo,26,1996,22.0,29.2,23.0,28.7,0.59,0.00,0.00,29.2,0.09,0.09,100.0,0.00,0.0,12.7,89.0,52.8,0.00,0.00,0.00,0.00,0.00,7.14,0.00,https://fbref.com/en/players/fc627681/Augusto-Batalla,fc627681,Argentina Liga Profesional
74,Jonathan Bay,ARG,DF,Instituto Atlético Central Córdoba,29,1993,4.7,57.9,2.77,16.4,25.5,16.6,1.70,57.9,1.49,0.00,0.0,1.28,85.7,24.0,101.9,50.0,0.21,0.85,0.00,2.13,0.85,26.6,3.83,https://fbref.com/en/players/663d052d/Jonathan-Bay,663d052d,Argentina Liga Profesional
75,Matías Bazzo,ARG,DF,Gimnasia ELP,21,2001,3.4,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/1deae46c/Matias-Bazzo,1deae46c,Argentina Liga Profesional
76,Tomás Belmonte,ARG,MF,Lanús,24,1998,21.0,53.2,4.48,17.6,31.9,4.29,1.24,53.2,0.67,0.38,57.1,0.14,21.4,22.9,90.4,35.3,0.19,0.33,0.00,0.95,0.38,26.1,0.86,https://fbref.com/en/players/9928bf1a/Tomas-Belmonte,9928bf1a,Argentina Liga Profesional
77,Lucas Beltrán,ARG,FW,River Plate,21,2001,15.2,47.2,0.46,2.11,17.9,27.8,6.97,47.0,3.82,1.78,46.6,1.84,48.3,28.6,112.9,45.9,1.84,1.18,0.66,3.82,1.84,34.8,10.0,https://fbref.com/en/players/482d2bc3/Lucas-Beltran,482d2bc3,Argentina Liga Profesional
78,Gastón Benavídez,ARG,DF,Talleres,27,1995,26.0,59.8,2.81,19.0,29.8,11.6,1.00,59.8,1.31,0.42,32.4,0.73,55.9,24.3,129.6,75.2,1.65,0.92,0.08,0.50,0.46,29.2,3.73,https://fbref.com/en/players/adc19df2/Gaston-Benavidez,adc19df2,Argentina Liga Profesional
79,Gastón Benedetti,ARG,"DF,FW",Estudiantes,21,2001,15.6,62.6,2.18,16.6,29.6,17.0,0.96,62.6,2.18,1.54,70.6,0.58,26.5,29.7,156.2,71.5,1.92,0.96,0.13,1.67,1.03,33.4,6.15,https://fbref.com/en/players/58a19703/Gaston-Benedetti,58a19703,Argentina Liga Profesional
80,Darío Benedetto,ARG,FW,Boca Juniors,32,1990,9.9,27.7,0.61,1.31,14.4,12.2,3.33,27.7,1.82,0.71,38.9,1.11,61.1,15.8,63.1,13.6,0.40,0.51,0.20,3.54,1.01,20.7,4.75,https://fbref.com/en/players/bef0a7ac/Dario-Benedetto,bef0a7ac,Argentina Liga Profesional
81,Ángel Benítez,PAR,MF,Defensa y Just,27,1996,0.9,37.8,2.22,13.3,20.0,4.44,3.33,37.8,2.22,1.11,50.0,1.11,50.0,12.2,95.6,50.0,3.33,0.00,1.11,2.22,0.00,15.6,2.22,https://fbref.com/en/players/cbceba4f/Angel-Benitez,cbceba4f,Argentina Liga Profesional
82,Guillermo Benítez,ARG,DF,CA Huracán,29,1993,21.9,52.6,2.15,13.6,23.9,15.7,1.14,52.6,1.92,1.10,57.1,0.50,26.2,19.3,115.8,71.5,2.05,1.55,0.18,1.51,0.46,21.8,3.47,https://fbref.com/en/players/5a149253/Guillermo-Benitez,5a149253,Argentina Liga Profesional
83,Jorge Benítez,PAR,FW,Colón,30,1992,8.0,41.1,1.63,3.75,22.6,15.6,3.38,41.0,4.13,1.75,42.4,1.88,45.5,23.1,117.9,43.6,1.50,1.25,1.25,3.38,1.88,30.6,5.50,https://fbref.com/en/players/f580b8e7/Jorge-Benitez,f580b8e7,Argentina Liga Profesional
84,Marcelo Benitez,ARG,DF,CC Córdoba,32,1991,14.8,68.1,2.91,20.9,32.3,15.5,0.61,68.1,1.15,0.54,47.1,0.47,41.2,29.0,151.5,73.3,1.22,0.81,0.00,1.42,0.47,34.0,1.49,https://fbref.com/en/players/6b6c72ac/Marcelo-Benitez,6b6c72ac,Argentina Liga Profesional
