Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
39,Marcelo Rangel,BRA,GK,Goiás,,34,1988,3.0,2.67,0.67,0.0,0.33,0.33,2.03,0.29,-0.3,-0.31,2.0,8.0,25.0,17.3,4.0,26.9,32.8,9.67,34.5,30.2,16.3,0.67,4.1,0.0,0.0,6.4,https://fbref.com/en/players/c293dc73/Marcelo-Rangel,c293dc73,Brazilian Serie A
40,Pedro Rangel,BRA,GK,Fluminense,,22,2000,2.0,2.5,0.0,0.0,0.5,0.0,1.5,0.3,-1.0,-1.02,2.0,4.0,50.0,20.0,6.5,7.5,20.2,7.5,33.3,27.9,14.0,0.5,3.6,0.5,0.5,10.8,https://fbref.com/en/players/06dc2861/Pedro-Rangel,06dc2861,Brazilian Serie A
41,João Ricardo Riedi,BRA,GK,Fortaleza,,34,1988,31.9,1.22,0.09,0.0,0.28,0.06,1.18,0.26,0.03,0.02,3.89,11.1,35.0,15.5,4.48,39.3,35.2,7.9,63.5,44.5,13.8,1.0,7.3,0.25,0.25,9.0,https://fbref.com/en/players/4729d71a/Joao-Ricardo-Riedi,4729d71a,Brazilian Serie A
42,Sergio Rochet,URU,GK,Internacional,,29,1993,19.0,1.32,0.26,0.05,0.16,0.05,1.22,0.22,-0.05,-0.05,3.42,11.2,30.7,20.7,4.11,35.8,34.6,7.53,49.7,42.4,17.3,1.11,6.4,0.89,0.89,13.2,https://fbref.com/en/players/81b99b9e/Sergio-Rochet,81b99b9e,Brazilian Serie A
43,Agustín Rossi,ARG,GK,Flamengo,,27,1995,15.0,0.8,0.13,0.0,0.0,0.0,0.88,0.21,0.08,0.08,4.67,11.6,40.2,27.7,4.53,32.5,31.6,6.27,41.5,36.6,13.2,0.53,4.0,0.6,0.6,12.8,https://fbref.com/en/players/ef223e5f/Agustin-Rossi,ef223e5f,Brazilian Serie A
44,Santos,BRA,GK,Flamengo,,32,1990,5.4,1.48,0.19,0.0,0.19,0.0,1.06,0.2,-0.43,-0.42,3.33,8.15,40.9,29.8,5.19,24.2,28.0,6.11,15.2,22.6,12.0,1.3,10.8,1.3,1.29,16.7,https://fbref.com/en/players/b8d0b69c/Santos,b8d0b69c,Brazilian Serie A
45,Cleiton Schwengber,BRA,GK,Bragantino,,25,1997,33.0,0.82,0.18,0.0,0.12,0.03,1.16,0.28,0.38,0.38,4.58,13.6,33.6,23.8,4.39,48.0,39.4,7.39,29.9,31.2,11.6,0.45,3.9,1.91,1.91,18.2,https://fbref.com/en/players/d24ae824/Cleiton-Schwengber,d24ae824,Brazilian Serie A
46,Tadeu,BRA,GK,Goiás,,30,1992,35.0,1.29,0.09,0.03,0.26,0.0,1.41,0.3,0.12,0.12,7.34,16.7,43.9,25.8,4.57,50.9,40.6,8.37,43.0,39.5,19.2,1.37,7.2,0.54,0.54,11.3,https://fbref.com/en/players/8445554f/Tadeu,8445554f,Brazilian Serie A
47,Vladimir,BRA,GK,Santos,,33,1989,2.3,5.65,0.0,0.0,0.43,0.87,2.91,0.33,-1.87,-1.86,1.3,7.39,17.6,15.2,6.52,17.1,28.5,7.83,61.1,48.6,16.5,0.0,0.0,0.0,0.0,9.4,https://fbref.com/en/players/bbae502c/Vladimir,bbae502c,Brazilian Serie A
48,Walter,BRA,GK,Cuiabá,,35,1987,35.0,1.0,0.11,0.0,0.09,0.06,1.15,0.26,0.21,0.21,5.06,11.3,44.9,19.1,3.94,37.0,34.8,7.54,55.7,41.9,15.9,1.03,6.5,0.43,0.43,9.8,https://fbref.com/en/players/8bae322b/Walter,8bae322b,Brazilian Serie A
49,Wéverton,BRA,GK,Palmeiras,,35,1987,35.0,0.86,0.09,0.03,0.09,0.03,1.0,0.24,0.17,0.17,4.09,10.8,37.7,27.1,5.66,32.1,34.0,6.83,31.4,33.1,11.3,0.97,8.6,0.57,0.57,12.8,https://fbref.com/en/players/81be82e9/Weverton,81be82e9,Brazilian Serie A
1,Lucas Acosta,ARG,GK,Lanús,,27,1995,18.0,0.94,0.06,0.11,0.0,0.0,0.95,0.25,0.01,0.0,4.33,14.1,30.7,23.0,2.83,41.3,37.3,8.33,55.3,44.1,19.3,1.0,5.2,0.44,0.44,11.4,https://fbref.com/en/players/50f7c408/Lucas-Acosta,50f7c408,Argentina Liga Profesional
2,Facundo Altamirano,ARG,GK,San Lorenzo,,26,1996,5.0,0.8,0.2,0.0,0.2,0.0,1.08,0.16,0.28,0.29,5.8,19.8,29.3,19.2,2.2,69.8,48.8,7.4,86.5,57.9,16.0,1.6,10.0,0.6,0.6,10.5,https://fbref.com/en/players/84d5fd29/Facundo-Altamirano,84d5fd29,Argentina Liga Profesional
3,Mariano Andújar,ARG,GK,Estudiantes,,39,1983,25.0,0.76,0.12,0.0,0.04,0.04,0.7,0.22,-0.02,-0.02,4.16,11.4,36.4,19.2,4.92,37.4,34.6,8.12,52.2,43.7,14.0,0.88,6.3,0.44,0.44,12.7,https://fbref.com/en/players/609cd867/Mariano-Andujar,609cd867,Argentina Liga Profesional
4,Ignacio Arce,ARG,GK,Platense,,30,1992,5.0,2.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/707fcc63/Ignacio-Arce,707fcc63,Argentina Liga Profesional
