Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Player Link_,Player ID_,Competition
211,Eulânio Ângelo Chipela Gomes,GNB,DF,Santa Clara,28,1994,6.4,0.00,0.31,0.00,0.0,0.31,0.00,0.00,,25.8,0.00,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,https://fbref.com/en/players/d9b9b71a/Eulanio-Angelo-Chipela-Gomes,d9b9b71a,Primeira Liga
212,Henrique Gomes,POR,DF,Gil Vicente FC,26,1995,5.3,0.00,0.57,0.00,0.0,0.57,0.00,0.00,,18.0,0.00,0.00,0.00,0.02,0.02,0.04,-0.02,-0.02,https://fbref.com/en/players/f7ef0388/Henrique-Gomes,f7ef0388,Primeira Liga
213,Nito Gomes,GNB,MF,Marítimo,20,2002,0.8,0.00,1.25,0.00,0.0,1.27,0.00,0.00,,34.8,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,https://fbref.com/en/players/afcff10b/Nito-Gomes,afcff10b,Primeira Liga
214,Rodrigo Gomes,POR,"FW,MF",Braga,19,2003,3.8,0.26,1.58,0.53,33.3,1.58,0.53,0.17,0.50,14.8,0.00,0.00,0.00,0.13,0.13,0.08,0.13,0.13,https://fbref.com/en/players/8dcf77c0/Rodrigo-Gomes,8dcf77c0,Primeira Liga
215,Rui Gomes,POR,"MF,FW",Portimonense,24,1997,11.9,0.08,1.93,0.67,34.8,1.93,0.67,0.04,0.13,20.5,0.08,0.00,0.00,0.12,0.12,0.06,-0.03,-0.03,https://fbref.com/en/players/62448463/Rui-Gomes,62448463,Primeira Liga
216,Vítor Gomes,POR,MF,Rio Ave,34,1987,8.4,0.00,0.48,0.12,25.0,0.47,0.12,0.00,0.00,30.8,0.00,0.00,0.00,0.08,0.08,0.17,-0.08,-0.08,https://fbref.com/en/players/6b8cd7dd/Vitor-Gomes,6b8cd7dd,Primeira Liga
217,Victor Gomez,ESP,DF,Braga,22,2000,22.9,0.00,0.17,0.04,25.0,0.17,0.04,0.00,0.00,27.3,0.00,0.00,0.00,0.00,0.00,0.02,-0.00,-0.00,https://fbref.com/en/players/b7de5bad/Victor-Gomez,b7de5bad,Primeira Liga
218,Nuno Gonçalo Moreira,POR,"FW,MF",Vizela,23,1999,20.4,0.05,2.60,0.83,32.1,2.60,0.83,0.02,0.06,23.0,0.05,0.00,0.00,0.15,0.15,0.06,-0.10,-0.10,https://fbref.com/en/players/c28df63c/Nuno-Goncalo-Moreira,c28df63c,Primeira Liga
219,Diogo Gonçalves,POR,FW,Benfica,25,1997,3.4,0.00,4.41,1.47,33.3,4.47,1.49,0.00,0.00,17.9,0.29,0.00,0.00,0.29,0.29,0.06,-0.29,-0.29,https://fbref.com/en/players/f4b52308/Diogo-Goncalves,f4b52308,Primeira Liga
220,João Gonçalves,POR,GK,Boavista,21,2000,1.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/8b8c0095/Joao-Goncalves,8b8c0095,Primeira Liga
221,Pedro Gonçalves,POR,"MF,FW",Sporting CP,24,1998,31.2,0.48,3.08,1.09,35.4,3.08,1.09,0.09,0.26,19.7,0.19,0.19,0.26,0.52,0.32,0.10,-0.04,-0.03,https://fbref.com/en/players/c275947b/Pedro-Goncalves,c275947b,Primeira Liga
