Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Player Link_,Player ID_,Competition
1074,Arnaud Kalimuendo,FRA,FW,Rennes,fr Ligue 1,21-353,2002,10.8,0.28,0.19,0.09,0.09,0.09,0.19,0.37,50.0,0.19,0.28,0.19,0.09,0.28,0.56,0.19,0.00,https://fbref.com/en/players/bf4c41f9/Arnaud-Kalimuendo,bf4c41f9,Big 5 combined
1075,Yayah Kallon,SLE,FW,Hellas Verona,it Serie A,22-192,2001,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/f95f49d2/Yayah-Kallon,f95f49d2,Big 5 combined
1076,Gedeon Kalulu,COD,DF,Lorient,fr Ligue 1,26-132,1997,8.2,2.20,1.59,1.34,0.73,0.12,0.98,1.95,50.0,0.98,1.46,0.24,1.22,0.37,2.56,3.05,0.00,https://fbref.com/en/players/dd211559/Gedeon-Kalulu,dd211559,Big 5 combined
1077,Pierre Kalulu,FRA,DF,Milan,it Serie A,23-217,2000,1.2,3.33,0.00,1.67,1.67,0.00,0.00,0.83,0.0,0.83,2.50,1.67,0.83,0.83,4.17,5.00,0.83,https://fbref.com/en/players/85f7d1be/Pierre-Kalulu,85f7d1be,Big 5 combined
1078,Daichi Kamada,JPN,MF,Lazio,it Serie A,27-156,1996,8.1,3.33,2.22,1.36,1.36,0.62,1.60,2.96,54.2,1.36,1.11,0.37,0.74,0.62,3.95,0.62,0.00,https://fbref.com/en/players/15b287da/Daichi-Kamada,15b287da,Big 5 combined
1079,Waren Kamanzi,NOR,"DF,FW",Toulouse,fr Ligue 1,23-058,2000,3.6,3.33,2.78,1.94,0.83,0.56,1.39,2.78,50.0,1.39,0.56,0.28,0.28,0.56,3.89,2.78,0.00,https://fbref.com/en/players/a426a912/Waren-Kamanzi,a426a912,Big 5 combined
1080,Boubacar Kamara,FRA,MF,Aston Villa,eng Premier League,24-046,1999,15.0,2.40,1.60,0.93,1.13,0.33,1.20,2.40,50.0,1.20,1.00,0.33,0.67,1.20,3.60,0.87,0.00,https://fbref.com/en/players/cc77354e/Boubacar-Kamara,cc77354e,Big 5 combined
1081,Hassane Kamara,CIV,DF,Udinese,it Serie A,29-309,1994,10.7,1.59,1.12,0.93,0.37,0.28,0.84,1.31,64.3,0.47,0.84,0.09,0.75,1.03,2.62,2.52,0.00,https://fbref.com/en/players/19a12bed/Hassane-Kamara,19a12bed,Big 5 combined
1082,Willy Kambwala,FRA,DF,Manchester Utd,eng Premier League,19-136,2004,0.9,1.11,0.00,0.00,1.11,0.00,1.11,1.11,100.0,0.00,1.11,1.11,0.00,0.00,1.11,4.44,0.00,https://fbref.com/en/players/6a7353d7/Willy-Kambwala,6a7353d7,Big 5 combined
1083,Jakub Kamiński,POL,"FW,MF",Wolfsburg,de Bundesliga,21-217,2002,1.8,1.67,1.11,1.67,0.00,0.00,0.56,1.67,33.3,1.11,1.11,0.00,1.11,0.00,1.67,1.11,0.00,https://fbref.com/en/players/202b3b68/Jakub-Kaminski,202b3b68,Big 5 combined
1084,Thomas Kaminski,BEL,GK,Luton Town,eng Premier League,31-077,1992,19.0,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.0,0.05,0.00,0.00,0.00,0.00,0.00,0.47,0.05,https://fbref.com/en/players/1caa93a5/Thomas-Kaminski,1caa93a5,Big 5 combined
1085,Kevin Kampl,SVN,MF,RB Leipzig,de Bundesliga,33-091,1990,9.5,1.37,0.74,0.53,0.63,0.21,0.63,1.37,46.2,0.74,1.37,0.53,0.84,0.84,2.21,0.84,0.11,https://fbref.com/en/players/b825a650/Kevin-Kampl,b825a650,Big 5 combined
1086,Harry Kane,ENG,FW,Bayern Munich,de Bundesliga,30-164,1993,14.6,0.34,0.21,0.21,0.07,0.07,0.21,0.75,27.3,0.55,0.34,0.07,0.27,0.27,0.62,0.68,0.00,https://fbref.com/en/players/21a66f6a/Harry-Kane,21a66f6a,Big 5 combined
1087,Lee Kang-in,KOR,"MF,FW",Paris S-G,fr Ligue 1,22-323,2001,8.8,2.05,1.02,0.45,0.68,0.91,1.25,2.61,47.8,1.36,0.57,0.00,0.57,0.45,2.50,0.11,0.00,https://fbref.com/en/players/8455ad90/Lee-Kang-in,8455ad90,Big 5 combined
1088,Yann Karamoh,FRA,"MF,FW",Torino,it Serie A,25-184,1998,1.8,0.56,0.00,0.00,0.00,0.56,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.56,0.56,0.00,https://fbref.com/en/players/8b66d9cc/Yann-Karamoh,8b66d9cc,Big 5 combined
1089,Atakan Karazor,GER,MF,Stuttgart,de Bundesliga,27-087,1996,15.2,2.83,1.78,1.05,1.51,0.26,1.32,2.17,60.6,0.86,0.86,0.26,0.59,1.12,3.95,1.51,0.00,https://fbref.com/en/players/5762be5c/Atakan-Karazor,5762be5c,Big 5 combined
1090,Ayman Kari,FRA,MF,Lorient,fr Ligue 1,19-050,2004,0.2,5.00,5.00,5.00,0.00,0.00,5.00,10.0,50.0,5.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,https://fbref.com/en/players/0e8d7b6c/Ayman-Kari,0e8d7b6c,Big 5 combined
1091,Emir Karic,AUT,DF,Darmstadt 98,de Bundesliga,26-213,1997,7.3,2.74,2.05,1.37,0.68,0.68,1.64,2.05,80.0,0.41,2.05,0.14,1.92,0.96,3.70,2.05,0.00,https://fbref.com/en/players/7bbb0ac4/Emir-Karic,7bbb0ac4,Big 5 combined
1092,Jesper Karlsson,SWE,FW,Bologna,it Serie A,25-167,1998,3.5,0.86,0.86,0.57,0.29,0.00,0.57,2.29,25.0,1.71,1.14,0.00,1.14,0.86,1.71,0.29,0.00,https://fbref.com/en/players/7952d0c2/Jesper-Karlsson,7952d0c2,Big 5 combined
1093,Jon Karrikaburu,ESP,"MF,FW",Alavés,es La Liga,21-111,2002,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/211589b8/Jon-Karrikaburu,211589b8,Big 5 combined
1094,Rick Karsdorp,NED,DF,Roma,it Serie A,28-331,1995,6.9,1.74,1.45,0.72,0.43,0.58,1.01,1.88,53.8,0.87,0.72,0.29,0.43,0.43,2.17,0.72,0.00,https://fbref.com/en/players/9f84febe/Rick-Karsdorp,9f84febe,Big 5 combined
1095,Grigoris Kastanos,CYP,"MF,DF",Salernitana,it Serie A,25-343,1998,10.7,1.40,0.84,0.56,0.37,0.47,0.65,1.40,46.7,0.75,0.65,0.19,0.47,0.65,2.06,0.37,0.00,https://fbref.com/en/players/2a82aa85/Grigoris-Kastanos,2a82aa85,Big 5 combined
1096,Silas Katompa,COD,"FW,MF",Stuttgart,de Bundesliga,25-094,1998,8.1,0.37,0.25,0.25,0.12,0.00,0.25,0.86,28.6,0.62,0.99,0.00,0.99,0.00,0.37,0.37,0.00,https://fbref.com/en/players/de4cac2d/Silas-Katompa,de4cac2d,Big 5 combined
1097,Mikkel Kaufmann,DEN,"FW,DF",Union Berlin,de Bundesliga,23-005,2001,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.0,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/6e269dd3/Mikkel-Kaufmann,6e269dd3,Big 5 combined
1098,Michael Kayode,ITA,DF,Fiorentina,it Serie A,19-182,2004,11.1,2.34,1.44,1.17,0.63,0.54,1.35,1.89,71.4,0.54,1.26,0.63,0.63,0.81,3.15,2.52,0.09,https://fbref.com/en/players/e19660a8/Michael-Kayode,e19660a8,Big 5 combined
1099,Moise Kean,ITA,FW,Juventus,it Serie A,23-314,2000,5.2,1.35,0.77,0.58,0.38,0.38,0.19,0.38,50.0,0.19,0.38,0.19,0.19,0.19,1.54,0.77,0.00,https://fbref.com/en/players/3d50bcdb/Moise-Kean,3d50bcdb,Big 5 combined
1100,Michael Keane,ENG,DF,Everton,eng Premier League,30-362,1993,4.5,1.56,0.67,0.67,0.67,0.22,0.22,1.33,16.7,1.11,0.89,0.89,0.00,1.11,2.67,4.00,0.22,https://fbref.com/en/players/c5b7c315/Michael-Keane,c5b7c315,Big 5 combined
1101,Ibrahima Kebe,MLI,MF,Girona,es La Liga,23-159,2000,0.1,10.0,10.0,0.00,10.0,0.00,0.00,0.00,,0.00,10.0,0.00,10.0,10.0,20.0,0.00,0.00,https://fbref.com/en/players/047759a0/Ibrahima-Kebe,047759a0,Big 5 combined
1102,Kévin Keben Biakolo,CMR,DF,Toulouse,fr Ligue 1,19-347,2004,1.4,0.71,0.71,0.71,0.00,0.00,0.71,1.43,50.0,0.71,1.43,0.00,1.43,1.43,2.14,5.00,0.00,https://fbref.com/en/players/c43a8336/Kevin-Keben-Biakolo,c43a8336,Big 5 combined
1103,Yassine Kechta,MAR,MF,Le Havre,fr Ligue 1,21-317,2002,8.3,3.01,1.08,1.57,1.33,0.12,1.69,4.10,41.2,2.41,1.08,0.36,0.72,1.33,4.34,0.36,0.00,https://fbref.com/en/players/abefc3af/Yassine-Kechta,abefc3af,Big 5 combined
1104,Thilo Kehrer,GER,"DF,MF",West Ham,eng Premier League,27-109,1996,0.2,5.00,5.00,0.00,5.00,0.00,0.00,0.00,,0.00,10.0,10.0,0.00,0.00,5.00,0.00,0.00,https://fbref.com/en/players/51dbeea9/Thilo-Kehrer,51dbeea9,Big 5 combined
1105,Habib Keita,MLI,MF,Clermont Foot,fr Ligue 1,21-337,2002,6.6,2.42,1.82,0.61,1.36,0.45,1.06,1.67,63.6,0.61,2.88,1.06,1.82,2.88,5.30,2.12,0.00,https://fbref.com/en/players/cc588cbe/Habib-Keita,cc588cbe,Big 5 combined
1106,Naby Keïta,GUI,MF,Werder Bremen,de Bundesliga,28-332,1995,0.9,0.00,0.00,0.00,0.00,0.00,0.00,1.11,0.0,1.11,1.11,0.00,1.11,1.11,1.11,0.00,0.00,https://fbref.com/en/players/f25c8e3a/Naby-Keita,f25c8e3a,Big 5 combined
1107,Yannik Keitel,GER,MF,Freiburg,de Bundesliga,23-327,2000,1.4,5.00,3.57,2.14,2.14,0.71,2.14,2.86,75.0,0.71,2.14,0.00,2.14,2.86,7.86,2.86,0.71,https://fbref.com/en/players/d2c580ce/Yannik-Keitel,d2c580ce,Big 5 combined
1108,Caoimhín Kelleher,IRL,GK,Liverpool,eng Premier League,25-046,1998,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.50,https://fbref.com/en/players/62d7ef38/Caoimhin-Kelleher,62d7ef38,Big 5 combined
1109,Thomas Keller,GER,"MF,FW",Heidenheim,de Bundesliga,24-156,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,https://fbref.com/en/players/285c7011/Thomas-Keller,285c7011,Big 5 combined
1110,Lloyd Kelly,ENG,DF,Bournemouth,eng Premier League,25-094,1998,7.6,1.32,1.05,0.53,0.53,0.26,0.92,1.84,50.0,0.92,1.32,0.92,0.39,0.79,2.11,2.89,0.00,https://fbref.com/en/players/f31def1e/Lloyd-Kelly,f31def1e,Big 5 combined
1111,Aljoscha Kemlein,GER,MF,Union Berlin,de Bundesliga,19-159,2004,0.3,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,10.0,3.33,0.00,3.33,0.00,0.00,0.00,0.00,https://fbref.com/en/players/4658e309/Aljoscha-Kemlein,4658e309,Big 5 combined
1112,Tobias Kempe,GER,MF,Darmstadt 98,de Bundesliga,34-195,1989,8.2,0.85,0.85,0.49,0.37,0.00,0.49,1.10,44.4,0.61,0.61,0.12,0.49,0.73,1.59,0.61,0.00,https://fbref.com/en/players/d7cdfd81/Tobias-Kempe,d7cdfd81,Big 5 combined
1113,Milos Kerkez,HUN,DF,Bournemouth,eng Premier League,20-062,2003,12.9,2.56,1.40,1.63,0.78,0.16,1.55,2.17,71.4,0.62,1.47,0.47,1.01,0.78,3.33,2.95,0.08,https://fbref.com/en/players/0ad53bdc/Milos-Kerkez,0ad53bdc,Big 5 combined
1114,Reda Khadra,GER,"MF,FW",Reims,fr Ligue 1,22-188,2001,3.6,0.83,0.28,0.00,0.00,0.83,0.56,1.67,33.3,1.11,0.56,0.00,0.56,0.56,1.39,0.83,0.00,https://fbref.com/en/players/88acf83f/Reda-Khadra,88acf83f,Big 5 combined
1115,Wahbi Khazri,TUN,"FW,MF",Montpellier,fr Ligue 1,32-334,1991,7.3,1.51,1.10,0.68,0.82,0.00,1.23,2.74,45.0,1.51,0.96,0.00,0.96,0.14,1.64,0.55,0.00,https://fbref.com/en/players/2677a1de/Wahbi-Khazri,2677a1de,Big 5 combined
1116,Rani Khedira,GER,MF,Union Berlin,de Bundesliga,29-346,1994,4.0,2.25,1.25,1.00,1.25,0.00,1.00,1.50,66.7,0.50,0.75,0.00,0.75,1.25,3.50,2.50,0.00,https://fbref.com/en/players/59e4b92e/Rani-Khedira,59e4b92e,Big 5 combined
1117,Kiké,ESP,FW,Alavés,es La Liga,34-044,1989,8.6,0.23,0.12,0.00,0.12,0.12,0.23,0.70,33.3,0.47,1.16,0.47,0.70,0.00,0.23,1.05,0.00,https://fbref.com/en/players/e897d8ba/Kike,e897d8ba,Big 5 combined
1118,Luca Kilian,GER,DF,Köln,de Bundesliga,24-129,1999,3.1,3.23,1.61,2.90,0.32,0.00,1.61,2.26,71.4,0.65,2.26,0.97,1.29,0.32,3.55,2.58,0.00,https://fbref.com/en/players/610aa1e9/Luca-Kilian,610aa1e9,Big 5 combined
1119,Max Kilman,ENG,DF,Wolves,eng Premier League,26-230,1997,20.0,1.30,0.60,1.10,0.15,0.05,0.70,0.90,77.8,0.20,1.60,0.70,0.90,1.00,2.30,4.70,0.10,https://fbref.com/en/players/d0f72bf1/Max-Kilman,d0f72bf1,Big 5 combined
1120,Joshua Kimmich,GER,MF,Bayern Munich,de Bundesliga,28-334,1995,9.5,2.32,1.68,0.84,1.05,0.42,1.26,1.89,66.7,0.63,1.16,0.21,0.95,0.95,3.26,0.53,0.11,https://fbref.com/en/players/49296448/Joshua-Kimmich,49296448,Big 5 combined
1121,Jakub Kiwior,POL,DF,Arsenal,eng Premier League,23-327,2000,3.3,2.42,1.82,1.21,1.21,0.00,1.52,1.82,83.3,0.30,1.21,0.30,0.91,0.30,2.73,3.64,0.00,https://fbref.com/en/players/dc3e663e/Jakub-Kiwior,dc3e663e,Big 5 combined
1122,Simon Kjær,DEN,DF,Milan,it Serie A,34-288,1989,6.4,2.03,1.25,0.63,1.09,0.31,1.41,1.72,81.8,0.31,1.88,1.41,0.47,0.63,2.66,3.91,0.00,https://fbref.com/en/players/8b8a56ce/Simon-Kjaer,8b8a56ce,Big 5 combined
1123,Davy Klaassen,NED,"MF,FW",Inter,it Serie A,30-321,1993,0.8,2.50,1.25,0.00,2.50,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,https://fbref.com/en/players/15fd5593/Davy-Klaassen,15fd5593,Big 5 combined
1124,Christoph Klarer,AUT,DF,Darmstadt 98,de Bundesliga,23-208,2000,13.0,1.62,1.00,1.23,0.15,0.23,0.85,1.54,55.0,0.69,1.15,0.46,0.69,0.77,2.38,2.85,0.08,https://fbref.com/en/players/144e8717/Christoph-Klarer,144e8717,Big 5 combined
1125,Tim Kleindienst,GER,FW,Heidenheim,de Bundesliga,28-130,1995,15.5,0.52,0.39,0.13,0.26,0.13,0.19,0.71,27.3,0.52,0.71,0.26,0.45,0.32,0.84,1.48,0.00,https://fbref.com/en/players/258a6f4d/Tim-Kleindienst,258a6f4d,Big 5 combined
1126,Lukas Klostermann,GER,DF,RB Leipzig,de Bundesliga,27-219,1996,8.7,1.15,0.80,0.57,0.46,0.11,0.46,1.26,36.4,0.80,1.26,0.46,0.80,0.46,1.61,4.02,0.00,https://fbref.com/en/players/ca8033cb/Lukas-Klostermann,ca8033cb,Big 5 combined
1127,Justin Kluivert,NED,"MF,FW",Bournemouth,eng Premier League,24-248,1999,9.0,1.78,0.89,0.22,0.89,0.67,0.33,1.67,20.0,1.33,0.67,0.00,0.67,0.44,2.22,0.56,0.00,https://fbref.com/en/players/4c3a6744/Justin-Kluivert,4c3a6744,Big 5 combined
1128,Ansgar Knauff,GER,"MF,FW",Eint Frankfurt,de Bundesliga,21-363,2002,8.9,2.47,1.46,1.12,0.90,0.45,1.01,1.91,52.9,0.90,1.57,0.22,1.35,0.67,3.15,0.67,0.00,https://fbref.com/en/players/19a967ab/Ansgar-Knauff,19a967ab,Big 5 combined
1129,Robin Knoche,GER,DF,Union Berlin,de Bundesliga,31-231,1992,11.6,2.16,1.29,1.64,0.52,0.00,1.21,1.98,60.9,0.78,1.12,0.78,0.34,0.60,2.76,2.93,0.00,https://fbref.com/en/players/6bd5cd5d/Robin-Knoche,6bd5cd5d,Big 5 combined
1130,Gregor Kobel,SUI,GK,Dortmund,de Bundesliga,26-033,1997,15.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,https://fbref.com/en/players/cd59b9df/Gregor-Kobel,cd59b9df,Big 5 combined
1131,Robin Koch,GER,DF,Eint Frankfurt,de Bundesliga,27-175,1996,13.7,1.17,0.80,0.80,0.36,0.00,0.66,0.80,81.8,0.15,1.24,0.88,0.36,1.09,2.26,4.67,0.00,https://fbref.com/en/players/ea6bc03a/Robin-Koch,ea6bc03a,Big 5 combined
1132,Philipp Köhn,SUI,GK,Monaco,fr Ligue 1,25-281,1998,17.0,0.06,0.06,0.06,0.00,0.00,0.06,0.06,100.0,0.00,0.00,0.00,0.00,0.06,0.12,0.24,0.12,https://fbref.com/en/players/ff74841d/Philipp-Kohn,ff74841d,Big 5 combined
1133,Dominik Kohr,GER,"MF,DF",Mainz 05,de Bundesliga,29-342,1994,11.4,2.72,1.75,1.67,0.88,0.18,1.32,2.46,53.6,1.14,1.05,0.35,0.70,2.11,4.82,2.37,0.00,https://fbref.com/en/players/0fbecd11/Dominik-Kohr,0fbecd11,Big 5 combined
1134,Koke,ESP,MF,Atlético Madrid,es La Liga,32-000,1992,13.0,2.15,1.69,1.08,0.85,0.23,1.38,2.92,47.4,1.54,1.00,0.46,0.54,0.62,2.77,1.15,0.08,https://fbref.com/en/players/55126f3b/Koke,55126f3b,Big 5 combined
1135,Sead Kolašinac,BIH,DF,Atalanta,it Serie A,30-202,1993,13.7,1.68,1.09,1.09,0.58,0.00,1.17,1.97,59.3,0.80,0.66,0.22,0.44,1.17,2.85,1.90,0.00,https://fbref.com/en/players/3935e52e/Sead-Kolasinac,3935e52e,Big 5 combined
1136,Luca Koleosho,ITA,"MF,FW",Burnley,eng Premier League,19-115,2004,10.8,0.65,0.37,0.19,0.46,0.00,0.19,0.93,20.0,0.74,1.20,0.00,1.20,0.19,0.83,0.00,0.00,https://fbref.com/en/players/fc076f78/Luca-Koleosho,fc076f78,Big 5 combined
1137,Randal Kolo Muani,FRA,"FW,MF",Paris S-G,fr Ligue 1,25-034,1998,5.5,0.73,0.55,0.55,0.18,0.00,0.36,1.09,33.3,0.73,0.55,0.00,0.55,0.36,1.09,1.27,0.00,https://fbref.com/en/players/c0b3669f/Randal-Kolo-Muani,c0b3669f,Big 5 combined
1138,Randal Kolo Muani,FRA,FW,Eint Frankfurt,de Bundesliga,25-034,1998,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,https://fbref.com/en/players/c0b3669f/Randal-Kolo-Muani,c0b3669f,Big 5 combined
1139,Cheick Konaté,CIV,DF,Clermont Foot,fr Ligue 1,19-311,2004,10.1,2.38,1.39,1.68,0.69,0.00,1.88,3.37,55.9,1.49,1.39,0.20,1.19,0.99,3.37,1.68,0.00,https://fbref.com/en/players/1361e5bc/Cheick-Konate,1361e5bc,Big 5 combined
1140,Ibrahima Konaté,FRA,DF,Liverpool,eng Premier League,24-228,1999,9.8,2.24,1.43,1.22,0.92,0.10,1.12,1.53,73.3,0.41,1.33,0.82,0.51,0.92,3.16,2.55,0.00,https://fbref.com/en/players/5ed9b537/Ibrahima-Konate,5ed9b537,Big 5 combined
1141,Geoffrey Kondogbia,CTA,MF,Marseille,fr Ligue 1,30-327,1993,8.2,2.68,1.71,1.34,1.22,0.12,0.85,1.95,43.8,1.10,1.59,0.12,1.46,2.32,5.00,2.07,0.00,https://fbref.com/en/players/cce181df/Geoffrey-Kondogbia,cce181df,Big 5 combined
1142,Amadou Koné,MLI,"MF,FW",Reims,fr Ligue 1,18-239,2005,0.2,5.00,5.00,5.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,5.00,10.0,0.00,https://fbref.com/en/players/2eb1ec07/Amadou-Kone,2eb1ec07,Big 5 combined
1143,Ibrahima Koné,MLI,FW,Almería,es La Liga,24-206,1999,2.9,0.34,0.00,0.34,0.00,0.00,0.34,0.34,100.0,0.00,0.34,0.00,0.34,0.00,0.34,1.38,0.00,https://fbref.com/en/players/04bb2b06/Ibrahima-Kone,04bb2b06,Big 5 combined
1144,Ibrahima Koné,MLI,FW,Lorient,fr Ligue 1,24-206,1999,0.4,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.0,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/04bb2b06/Ibrahima-Kone,04bb2b06,Big 5 combined
1145,Kouadio Koné,FRA,MF,M'Gladbach,de Bundesliga,22-236,2001,6.8,2.50,1.18,0.88,1.18,0.44,0.88,1.62,54.5,0.74,1.18,0.00,1.18,0.74,3.24,0.44,0.15,https://fbref.com/en/players/86574238/Kouadio-Kone,86574238,Big 5 combined
1146,Ezri Konsa,ENG,DF,Aston Villa,eng Premier League,26-077,1997,19.5,1.69,1.03,0.97,0.62,0.10,0.82,0.92,88.9,0.10,1.08,0.56,0.51,1.08,2.77,2.26,0.05,https://fbref.com/en/players/0313a347/Ezri-Konsa,0313a347,Big 5 combined
1147,Teun Koopmeiners,NED,"MF,FW",Atalanta,it Serie A,25-314,1998,16.6,1.39,0.90,0.42,0.72,0.24,0.78,2.05,38.2,1.27,0.96,0.12,0.84,0.42,1.81,1.39,0.00,https://fbref.com/en/players/a26fb8aa/Teun-Koopmeiners,a26fb8aa,Big 5 combined
1148,Odilon Kossonou,CIV,DF,Leverkusen,de Bundesliga,23-004,2001,13.4,1.64,1.19,0.67,0.67,0.30,0.60,0.97,61.5,0.37,1.57,0.15,1.42,1.72,3.36,2.09,0.00,https://fbref.com/en/players/1f3afdcb/Odilon-Kossonou,1f3afdcb,Big 5 combined
1149,Filip Kostić,SRB,"DF,FW",Juventus,it Serie A,31-068,1992,12.1,1.82,1.32,0.99,0.58,0.25,0.99,1.90,52.2,0.91,1.65,0.50,1.16,0.41,2.23,2.15,0.00,https://fbref.com/en/players/b1cd37e6/Filip-Kostic,b1cd37e6,Big 5 combined
1150,Christian Kouamé,CIV,FW,Fiorentina,it Serie A,26-033,1997,7.6,1.05,0.26,0.53,0.53,0.00,0.39,0.66,60.0,0.26,1.58,0.00,1.58,0.00,1.05,0.92,0.00,https://fbref.com/en/players/58e933d2/Christian-Kouame,58e933d2,Big 5 combined
1151,Rominigue Kouamé,MLI,MF,Cádiz,es La Liga,27-022,1996,5.2,0.96,0.38,0.58,0.38,0.00,0.58,1.15,50.0,0.58,0.77,0.38,0.38,1.92,2.88,0.38,0.00,https://fbref.com/en/players/86a2ba20/Rominigue-Kouame,86a2ba20,Big 5 combined
1152,Koffi Kouao,CIV,DF,Metz,fr Ligue 1,25-233,1998,7.5,2.00,1.33,1.07,0.80,0.13,1.07,1.87,57.1,0.80,0.80,0.40,0.40,1.73,3.73,3.33,0.13,https://fbref.com/en/players/32100829/Koffi-Kouao,32100829,Big 5 combined
1153,Therence Koudou,FRA,DF,Reims,fr Ligue 1,19-026,2004,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,https://fbref.com/en/players/059a83b8/Therence-Koudou,059a83b8,Big 5 combined
1154,Jules Koundé,FRA,DF,Barcelona,es La Liga,25-057,1998,13.9,1.08,0.65,0.72,0.22,0.14,0.79,1.15,68.8,0.36,0.65,0.43,0.22,0.72,1.80,3.31,0.22,https://fbref.com/en/players/4d1666ff/Jules-Kounde,4d1666ff,Big 5 combined
1155,Boubakar Kouyaté,MLI,DF,Montpellier,fr Ligue 1,26-268,1997,12.8,2.03,1.41,1.41,0.47,0.16,1.09,2.50,43.8,1.41,1.33,0.55,0.78,1.33,3.36,4.84,0.08,https://fbref.com/en/players/562a4799/Boubakar-Kouyate,562a4799,Big 5 combined
1156,Cheikhou Kouyaté,SEN,MF,Nott'ham Forest,eng Premier League,34-018,1989,2.3,3.48,2.17,1.30,1.30,0.87,0.43,1.74,25.0,1.30,1.74,0.43,1.30,0.87,4.35,4.35,0.00,https://fbref.com/en/players/8d3c902d/Cheikhou-Kouyate,8d3c902d,Big 5 combined
1157,Mateo Kovačić,CRO,MF,Manchester City,eng Premier League,29-247,1994,8.5,2.35,1.76,1.29,0.82,0.24,1.18,1.76,66.7,0.59,1.06,0.00,1.06,0.24,2.59,0.82,0.00,https://fbref.com/en/players/79c0821a/Mateo-Kovacic,79c0821a,Big 5 combined
1158,Viktor Kovalenko,UKR,MF,Empoli,it Serie A,27-328,1996,3.6,1.39,0.56,0.56,0.56,0.28,0.56,1.11,50.0,0.56,1.67,0.28,1.39,0.28,1.67,1.39,0.00,https://fbref.com/en/players/9d60028d/Viktor-Kovalenko,9d60028d,Big 5 combined
1159,Dawid Kownacki,POL,FW,Werder Bremen,de Bundesliga,26-300,1997,2.4,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.0,0.83,0.42,0.42,0.00,0.00,0.00,0.42,0.00,https://fbref.com/en/players/be5e1c4c/Dawid-Kownacki,be5e1c4c,Big 5 combined
1160,Emil Krafth,SWE,DF,Newcastle Utd,eng Premier League,29-159,1994,0.9,3.33,2.22,1.11,1.11,1.11,3.33,3.33,100.0,0.00,0.00,0.00,0.00,0.00,3.33,1.11,0.00,https://fbref.com/en/players/77cf6852/Emil-Krafth,77cf6852,Big 5 combined
1161,Alex Král,CZE,MF,Union Berlin,de Bundesliga,25-234,1998,8.5,1.41,0.94,0.24,0.94,0.24,0.47,1.29,36.4,0.82,1.06,0.24,0.82,0.24,1.65,1.65,0.00,https://fbref.com/en/players/e717705a/Alex-Kral,e717705a,Big 5 combined
1162,Andrej Kramarić,CRO,"MF,FW",Hoffenheim,de Bundesliga,32-203,1991,10.3,0.29,0.10,0.19,0.00,0.10,0.19,0.49,40.0,0.29,0.49,0.00,0.49,0.19,0.49,0.58,0.00,https://fbref.com/en/players/603cb947/Andrej-Kramaric,603cb947,Big 5 combined
1163,Christoph Kramer,GER,MF,M'Gladbach,de Bundesliga,32-323,1991,2.0,4.00,2.00,1.50,2.50,0.00,1.00,6.00,16.7,5.00,2.50,0.50,2.00,2.00,6.00,2.00,0.00,https://fbref.com/en/players/496aeede/Christoph-Kramer,496aeede,Big 5 combined
1164,Frans Krätzig,GER,DF,Bayern Munich,de Bundesliga,20-359,2003,0.6,3.33,0.00,3.33,0.00,0.00,1.67,3.33,50.0,1.67,0.00,0.00,0.00,0.00,3.33,0.00,0.00,https://fbref.com/en/players/1fc08838/Frans-Kratzig,1fc08838,Big 5 combined
