Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
146,Kevin Trapp,GER,GK,Eint Frankfurt,de Bundesliga,33-184,1990,15.0,1.27,0.20,0.00,0.07,0.00,1.30,0.26,0.03,+0.04,3.40,11.3,30.0,30.5,4.13,28.6,29.6,7.27,35.8,33.3,14.8,0.40,2.7,0.87,0.87,14.5,https://fbref.com/en/players/ce17b5eb/Kevin-Trapp,ce17b5eb,Big 5 combined
147,Stefano Turati,ITA,GK,Frosinone,it Serie A,22-125,2001,18.0,1.83,0.06,0.00,0.28,0.06,1.38,0.28,-0.40,-0.40,2.28,9.11,25.0,33.6,5.28,22.6,27.3,4.83,31.0,32.5,14.4,0.72,5.0,0.78,0.78,13.4,https://fbref.com/en/players/bf168004/Stefano-Turati,bf168004,Big 5 combined
148,Matt Turner,USA,GK,Nott'ham Forest,eng Premier League,29-198,1994,15.0,1.53,0.13,0.00,0.20,0.00,1.31,0.25,-0.22,-0.22,7.53,16.5,45.6,26.1,6.27,41.9,35.3,8.07,69.4,47.5,17.5,1.67,9.5,1.13,1.13,14.1,https://fbref.com/en/players/4a51ba65/Matt-Turner,4a51ba65,Big 5 combined
149,Sven Ulreich,GER,GK,Bayern Munich,de Bundesliga,35-158,1988,8.0,0.88,0.13,0.13,0.25,0.00,0.82,0.33,-0.05,-0.05,2.50,8.00,31.3,32.6,4.38,21.8,26.3,4.25,20.6,27.1,8.75,0.25,2.9,1.75,1.75,23.0,https://fbref.com/en/players/7d3e7da6/Sven-Ulreich,7d3e7da6,Big 5 combined
150,Álvaro Vallés,ESP,GK,Las Palmas,es La Liga,26-167,1997,19.0,0.89,0.16,0.00,0.11,0.00,1.36,0.27,0.47,+0.47,4.58,14.6,31.4,47.7,5.95,26.2,29.0,4.16,49.4,42.2,16.2,1.16,7.1,2.58,2.58,17.4,https://fbref.com/en/players/0166a73e/Alvaro-Valles,0166a73e,Big 5 combined
151,Bart Verbruggen,NED,GK,Brighton,eng Premier League,21-143,2002,9.0,1.56,0.22,0.00,0.11,0.00,1.34,0.26,-0.21,-0.21,2.22,5.78,38.5,41.3,5.78,12.4,23.4,3.89,17.1,21.1,10.8,0.67,6.2,1.11,1.11,14.4,https://fbref.com/en/players/cf134113/Bart-Verbruggen,cf134113,Big 5 combined
152,Guglielmo Vicario,ITA,GK,Tottenham,eng Premier League,27-093,1996,20.0,1.45,0.25,0.00,0.10,0.10,1.69,0.32,0.34,+0.33,1.80,8.00,22.5,36.1,5.70,18.8,26.0,6.50,18.5,23.8,14.5,0.85,5.9,2.35,2.35,17.5,https://fbref.com/en/players/77d6fd4d/Guglielmo-Vicario,77d6fd4d,Big 5 combined
153,Iván Villar,ESP,GK,Celta Vigo,es La Liga,26-183,1997,9.3,1.61,0.11,0.00,0.11,0.00,1.56,0.31,-0.05,-0.05,3.44,13.7,25.2,19.7,4.30,39.3,36.7,8.60,68.8,49.6,13.0,0.54,4.1,0.75,0.76,12.8,https://fbref.com/en/players/cde52ef5/Ivan-Villar,cde52ef5,Big 5 combined
154,Odisseas Vlachodimos,GRE,GK,Nott'ham Forest,eng Premier League,29-257,1994,5.0,2.40,0.20,0.00,0.40,0.00,1.58,0.31,-0.82,-0.83,5.60,12.0,46.7,26.0,4.20,25.4,29.6,8.80,61.4,44.3,18.4,0.60,3.3,0.40,0.40,10.3,https://fbref.com/en/players/03df04ff/Odisseas-Vlachodimos,03df04ff,Big 5 combined
155,Robin Zentner,GER,GK,Mainz 05,de Bundesliga,29-072,1994,12.0,2.08,0.17,0.08,0.08,0.08,1.95,0.42,-0.05,-0.05,4.25,12.3,34.5,27.6,6.08,39.0,35.6,5.00,31.7,32.8,12.4,1.25,10.1,1.33,1.33,16.7,https://fbref.com/en/players/5c4bf6ba/Robin-Zentner,5c4bf6ba,Big 5 combined
156,Michael Zetterer,GER,GK,Werder Bremen,de Bundesliga,28-180,1995,9.0,1.44,0.11,0.00,0.11,0.11,1.33,0.33,0.00,0.00,4.67,10.6,44.2,34.6,6.56,26.0,32.1,5.67,27.5,34.2,13.6,1.56,11.5,0.67,0.67,12.9,https://fbref.com/en/players/9b688ae1/Michael-Zetterer,9b688ae1,Big 5 combined
