Rk,Player,Nation,Pos,Squad,Comp,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Player Link_,Player ID_,Competition
1297,Kaine Kesler-Hayden,ENG,DF,Aston Villa,eng Premier League,21-190,2002,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/9b066938/Kaine-Kesler-Hayden,9b066938,Big 5 combined
1298,Reda Khadra,GER,"FW,MF",Reims,fr Ligue 1,22-301,2001,26,14,1269,14.1,0.07,0.21,0.28,0.07,0.00,0.00,0.07,0.00,0.12,0.12,0.25,0.37,2.41,2.70,7.16,0.07,0.21,0.28,0.07,0.28,0.12,0.25,0.37,0.12,0.37,https://fbref.com/en/players/88acf83f/Reda-Khadra,88acf83f,Big 5 combined
1299,Wahbi Khazri,TUN,FW,Montpellier,fr Ligue 1,33-082,1991,24,13,1099,12.2,0.08,0.00,0.08,0.08,0.00,0.00,0.41,0.00,0.27,0.27,0.10,0.37,1.97,2.62,5.98,0.08,0.00,0.08,0.08,0.08,0.27,0.10,0.37,0.27,0.37,https://fbref.com/en/players/2677a1de/Wahbi-Khazri,2677a1de,Big 5 combined
1300,Rani Khedira,GER,MF,Union Berlin,de Bundesliga,30-094,1994,18,16,1210,13.4,0.00,0.00,0.00,0.00,0.00,0.00,0.30,0.07,0.03,0.03,0.01,0.04,0.45,2.09,0.97,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,https://fbref.com/en/players/59e4b92e/Rani-Khedira,59e4b92e,Big 5 combined
1301,Kiké,ESP,"FW,MF",Alavés,es La Liga,34-157,1989,30,12,1240,13.8,0.22,0.14,0.36,0.22,0.00,0.07,0.22,0.00,0.45,0.39,0.14,0.53,1.23,2.25,6.45,0.22,0.15,0.36,0.22,0.36,0.45,0.14,0.59,0.39,0.53,https://fbref.com/en/players/e897d8ba/Kike,e897d8ba,Big 5 combined
1302,Luca Kilian,GER,DF,Köln,de Bundesliga,24-242,1999,13,6,635,7.1,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.99,1.69,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,https://fbref.com/en/players/610aa1e9/Luca-Kilian,610aa1e9,Big 5 combined
1303,Max Kilman,ENG,DF,Wolves,eng Premier League,26-343,1997,35,35,3150,35.0,0.06,0.00,0.06,0.06,0.00,0.00,0.20,0.00,0.05,0.05,0.04,0.09,0.63,3.20,0.14,0.06,0.00,0.06,0.06,0.06,0.05,0.04,0.09,0.05,0.09,https://fbref.com/en/players/d0f72bf1/Max-Kilman,d0f72bf1,Big 5 combined
1304,Joshua Kimmich,GER,"MF,DF",Bayern Munich,de Bundesliga,29-082,1995,25,24,1933,21.5,0.05,0.28,0.33,0.05,0.00,0.00,0.05,0.05,0.05,0.05,0.33,0.38,2.42,10.3,4.70,0.05,0.28,0.33,0.05,0.33,0.05,0.33,0.37,0.05,0.37,https://fbref.com/en/players/49296448/Joshua-Kimmich,49296448,Big 5 combined
1305,Jakub Kiwior,POL,DF,Arsenal,eng Premier League,24-075,2000,19,11,945,10.5,0.10,0.29,0.38,0.10,0.00,0.00,0.10,0.00,0.08,0.08,0.09,0.16,0.38,5.24,1.52,0.10,0.29,0.38,0.10,0.38,0.08,0.09,0.16,0.08,0.16,https://fbref.com/en/players/dc3e663e/Jakub-Kiwior,dc3e663e,Big 5 combined
1306,Simon Kjær,DEN,DF,Milan,it Serie A,35-035,1989,19,14,1168,13.0,0.00,0.08,0.08,0.00,0.00,0.00,0.08,0.00,0.04,0.04,0.06,0.10,0.31,4.00,0.00,0.00,0.08,0.08,0.00,0.08,0.04,0.06,0.10,0.04,0.10,https://fbref.com/en/players/8b8a56ce/Simon-Kjaer,8b8a56ce,Big 5 combined
1307,Davy Klaassen,NED,"MF,FW",Inter,it Serie A,31-069,1993,11,1,162,1.8,0.00,0.00,0.00,0.00,0.00,0.00,0.56,0.00,0.06,0.06,0.11,0.17,0.00,2.78,2.22,0.00,0.00,0.00,0.00,0.00,0.05,0.10,0.15,0.05,0.15,https://fbref.com/en/players/15fd5593/Davy-Klaassen,15fd5593,Big 5 combined
1308,Christoph Klarer,AUT,DF,Darmstadt 98,de Bundesliga,23-321,2000,27,25,2084,23.2,0.09,0.09,0.17,0.09,0.00,0.00,0.34,0.00,0.05,0.05,0.04,0.09,0.39,2.59,0.47,0.09,0.09,0.17,0.09,0.17,0.05,0.04,0.09,0.05,0.09,https://fbref.com/en/players/144e8717/Christoph-Klarer,144e8717,Big 5 combined
1309,Tim Kleindienst,GER,FW,Heidenheim,de Bundesliga,28-243,1995,31,31,2695,29.9,0.37,0.10,0.47,0.30,0.07,0.07,0.13,0.00,0.45,0.39,0.10,0.49,1.30,2.21,5.65,0.37,0.10,0.47,0.30,0.40,0.45,0.10,0.54,0.40,0.49,https://fbref.com/en/players/258a6f4d/Tim-Kleindienst,258a6f4d,Big 5 combined
1310,Lukas Klostermann,GER,DF,RB Leipzig,de Bundesliga,27-332,1996,23,14,1270,14.1,0.07,0.00,0.07,0.07,0.00,0.00,0.21,0.00,0.05,0.05,0.03,0.08,0.99,5.89,0.57,0.07,0.00,0.07,0.07,0.07,0.05,0.03,0.08,0.05,0.08,https://fbref.com/en/players/ca8033cb/Lukas-Klostermann,ca8033cb,Big 5 combined
1311,Justin Kluivert,NED,"MF,FW",Bournemouth,eng Premier League,24-361,1999,29,23,1704,18.9,0.37,0.05,0.42,0.37,0.00,0.00,0.26,0.00,0.32,0.32,0.10,0.42,3.02,2.33,5.56,0.37,0.05,0.42,0.37,0.42,0.32,0.10,0.42,0.32,0.42,https://fbref.com/en/players/4c3a6744/Justin-Kluivert,4c3a6744,Big 5 combined
1312,Ansgar Knauff,GER,"MF,FW",Eint Frankfurt,de Bundesliga,22-111,2002,28,22,1908,21.2,0.33,0.05,0.38,0.33,0.00,0.00,0.28,0.05,0.25,0.25,0.07,0.33,3.30,2.31,6.93,0.33,0.05,0.38,0.33,0.38,0.26,0.07,0.32,0.26,0.32,https://fbref.com/en/players/19a967ab/Ansgar-Knauff,19a967ab,Big 5 combined
1313,Robin Knoche,GER,DF,Union Berlin,de Bundesliga,31-344,1992,21,18,1735,19.3,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.06,0.02,0.01,0.03,0.21,3.68,0.10,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.02,0.02,https://fbref.com/en/players/6bd5cd5d/Robin-Knoche,6bd5cd5d,Big 5 combined
1314,Gregor Kobel,SUI,GK,Dortmund,de Bundesliga,26-146,1997,25,25,2185,24.3,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/cd59b9df/Gregor-Kobel,cd59b9df,Big 5 combined
1315,Robin Koch,GER,DF,Eint Frankfurt,de Bundesliga,27-288,1996,28,28,2468,27.4,0.07,0.00,0.07,0.07,0.00,0.00,0.33,0.00,0.11,0.11,0.01,0.11,0.51,3.91,0.11,0.07,0.00,0.07,0.07,0.07,0.11,0.01,0.11,0.11,0.11,https://fbref.com/en/players/ea6bc03a/Robin-Koch,ea6bc03a,Big 5 combined
1316,Philipp Köhn,SUI,GK,Monaco,fr Ligue 1,26-028,1998,22,22,1980,22.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/ff74841d/Philipp-Kohn,ff74841d,Big 5 combined
1317,Dominik Kohr,GER,"DF,MF",Mainz 05,de Bundesliga,30-090,1994,28,24,1914,21.3,0.05,0.00,0.05,0.05,0.00,0.00,0.61,0.05,0.08,0.08,0.06,0.13,0.89,4.27,1.17,0.05,0.00,0.05,0.05,0.05,0.08,0.05,0.13,0.08,0.13,https://fbref.com/en/players/0fbecd11/Dominik-Kohr,0fbecd11,Big 5 combined
1318,Koke,ESP,MF,Atlético Madrid,es La Liga,32-113,1992,30,27,2063,22.9,0.00,0.17,0.17,0.00,0.00,0.00,0.17,0.00,0.02,0.02,0.11,0.13,0.96,7.99,1.05,0.00,0.17,0.17,0.00,0.17,0.02,0.11,0.13,0.02,0.13,https://fbref.com/en/players/55126f3b/Koke,55126f3b,Big 5 combined
1319,Sead Kolašinac,BIH,DF,Atalanta,it Serie A,30-315,1993,30,25,2178,24.2,0.04,0.00,0.04,0.04,0.00,0.00,0.17,0.00,0.05,0.05,0.05,0.10,1.32,3.88,1.24,0.04,0.00,0.04,0.04,0.04,0.06,0.04,0.10,0.06,0.10,https://fbref.com/en/players/3935e52e/Sead-Kolasinac,3935e52e,Big 5 combined
1320,Luca Koleosho,ITA,"MF,FW",Burnley,eng Premier League,19-228,2004,15,13,974,10.8,0.09,0.09,0.19,0.09,0.00,0.00,0.00,0.00,0.19,0.19,0.12,0.31,4.91,1.76,7.59,0.09,0.09,0.18,0.09,0.18,0.18,0.12,0.30,0.18,0.30,https://fbref.com/en/players/fc076f78/Luca-Koleosho,fc076f78,Big 5 combined
1321,Randal Kolo Muani,FRA,"FW,MF",Paris S-G,fr Ligue 1,25-147,1998,25,13,1239,13.8,0.43,0.36,0.80,0.43,0.00,0.00,0.07,0.00,0.44,0.44,0.23,0.67,2.54,2.97,8.91,0.44,0.36,0.80,0.44,0.80,0.44,0.23,0.67,0.44,0.67,https://fbref.com/en/players/c0b3669f/Randal-Kolo-Muani,c0b3669f,Big 5 combined
1322,Randal Kolo Muani,FRA,FW,Eint Frankfurt,de Bundesliga,25-147,1998,2,2,153,1.7,0.59,0.00,0.59,0.59,0.00,0.00,0.00,0.00,0.76,0.76,0.00,0.76,3.53,1.76,5.29,0.59,0.00,0.59,0.59,0.59,0.77,0.00,0.77,0.77,0.77,https://fbref.com/en/players/c0b3669f/Randal-Kolo-Muani,c0b3669f,Big 5 combined
1323,Mert Kömür,GER,"MF,DF",Augsburg,de Bundesliga,18-288,2005,2,0,27,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,13.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/ec68a918/Mert-Komur,ec68a918,Big 5 combined
1324,Ibrahima Konaté,FRA,DF,Liverpool,eng Premier League,24-341,1999,22,17,1574,17.5,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.06,0.04,0.04,0.02,0.06,1.37,6.74,0.17,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,https://fbref.com/en/players/5ed9b537/Ibrahima-Konate,5ed9b537,Big 5 combined
1325,Geoffrey Kondogbia,CTA,MF,Marseille,fr Ligue 1,31-075,1993,23,14,1339,14.9,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.03,0.03,0.03,0.05,0.47,5.30,1.54,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.03,0.05,https://fbref.com/en/players/cce181df/Geoffrey-Kondogbia,cce181df,Big 5 combined
1326,Amadou Koné,MLI,MF,Reims,fr Ligue 1,18-352,2005,13,2,300,3.3,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.30,0.09,0.09,0.06,0.12,0.00,6.06,0.61,0.00,0.00,0.00,0.00,0.00,0.08,0.05,0.13,0.08,0.13,https://fbref.com/en/players/2eb1ec07/Amadou-Kone,2eb1ec07,Big 5 combined
1327,Ibrahima Koné,MLI,FW,Almería,es La Liga,24-319,1999,8,2,262,2.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.03,0.17,1.03,1.03,5.17,0.00,0.00,0.00,0.00,0.00,0.12,0.03,0.16,0.12,0.16,https://fbref.com/en/players/04bb2b06/Ibrahima-Kone,04bb2b06,Big 5 combined
1328,Ibrahima Koné,MLI,FW,Lorient,fr Ligue 1,24-319,1999,1,0,32,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/04bb2b06/Ibrahima-Kone,04bb2b06,Big 5 combined
1329,Kouadio Koné,FRA,MF,M'Gladbach,de Bundesliga,22-349,2001,19,15,1322,14.7,0.07,0.00,0.07,0.07,0.00,0.00,0.27,0.07,0.07,0.07,0.05,0.12,2.18,3.88,3.40,0.07,0.00,0.07,0.07,0.07,0.07,0.06,0.12,0.07,0.12,https://fbref.com/en/players/86574238/Kouadio-Kone,86574238,Big 5 combined
1330,Ezri Konsa,ENG,DF,Aston Villa,eng Premier League,26-190,1997,32,32,2800,31.1,0.03,0.00,0.03,0.03,0.00,0.00,0.16,0.00,0.08,0.08,0.02,0.09,1.09,4.08,0.96,0.03,0.00,0.03,0.03,0.03,0.08,0.02,0.09,0.08,0.09,https://fbref.com/en/players/0313a347/Ezri-Konsa,0313a347,Big 5 combined
1331,Teun Koopmeiners,NED,MF,Atalanta,it Serie A,26-062,1998,30,26,2312,25.7,0.43,0.16,0.58,0.35,0.08,0.08,0.16,0.00,0.22,0.16,0.19,0.35,2.57,5.60,6.65,0.43,0.16,0.58,0.35,0.51,0.22,0.19,0.41,0.16,0.35,https://fbref.com/en/players/a26fb8aa/Teun-Koopmeiners,a26fb8aa,Big 5 combined
1332,Odilon Kossonou,CIV,DF,Leverkusen,de Bundesliga,23-117,2001,19,18,1568,17.4,0.06,0.00,0.06,0.06,0.00,0.00,0.17,0.00,0.03,0.03,0.03,0.07,1.95,6.49,1.03,0.06,0.00,0.06,0.06,0.06,0.03,0.04,0.07,0.03,0.07,https://fbref.com/en/players/1f3afdcb/Odilon-Kossonou,1f3afdcb,Big 5 combined
1333,Filip Kostić,SRB,DF,Juventus,it Serie A,31-181,1992,27,25,1740,19.3,0.00,0.21,0.21,0.00,0.00,0.00,0.10,0.00,0.04,0.04,0.27,0.31,3.16,4.25,4.61,0.00,0.21,0.21,0.00,0.21,0.03,0.27,0.31,0.03,0.31,https://fbref.com/en/players/b1cd37e6/Filip-Kostic,b1cd37e6,Big 5 combined
1334,Christian Kouamé,CIV,FW,Fiorentina,it Serie A,26-146,1997,19,10,940,10.4,0.19,0.10,0.29,0.19,0.00,0.00,0.00,0.00,0.19,0.19,0.17,0.37,0.96,3.65,8.94,0.19,0.10,0.29,0.19,0.29,0.19,0.17,0.36,0.19,0.36,https://fbref.com/en/players/58e933d2/Christian-Kouame,58e933d2,Big 5 combined
1335,Rominigue Kouamé,MLI,MF,Cádiz,es La Liga,27-135,1996,16,9,821,9.1,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.03,0.03,0.01,0.04,1.76,3.74,0.55,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,https://fbref.com/en/players/86a2ba20/Rominigue-Kouame,86a2ba20,Big 5 combined
1336,Koffi Kouao,CIV,DF,Metz,fr Ligue 1,25-346,1998,12,10,859,9.5,0.00,0.21,0.21,0.00,0.00,0.00,0.21,0.00,0.02,0.02,0.16,0.18,1.05,3.05,2.95,0.00,0.21,0.21,0.00,0.21,0.02,0.16,0.18,0.02,0.18,https://fbref.com/en/players/32100829/Koffi-Kouao,32100829,Big 5 combined
1337,Therence Koudou,FRA,DF,Reims,fr Ligue 1,19-139,2004,9,3,314,3.5,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.03,0.03,0.09,0.09,2.29,4.00,6.29,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,https://fbref.com/en/players/059a83b8/Therence-Koudou,059a83b8,Big 5 combined
1338,Jules Koundé,FRA,DF,Barcelona,es La Liga,25-170,1998,29,26,2359,26.2,0.04,0.08,0.11,0.04,0.00,0.00,0.11,0.00,0.07,0.07,0.08,0.15,1.98,7.02,1.72,0.04,0.08,0.11,0.04,0.11,0.07,0.08,0.15,0.07,0.15,https://fbref.com/en/players/4d1666ff/Jules-Kounde,4d1666ff,Big 5 combined
1339,Boubakar Kouyaté,MLI,DF,Montpellier,fr Ligue 1,27-015,1997,22,21,1839,20.4,0.00,0.10,0.10,0.00,0.00,0.00,0.25,0.05,0.04,0.04,0.06,0.10,0.20,2.75,0.15,0.00,0.10,0.10,0.00,0.10,0.04,0.06,0.10,0.04,0.10,https://fbref.com/en/players/562a4799/Boubakar-Kouyate,562a4799,Big 5 combined
1340,Cheikhou Kouyaté,SEN,MF,Nott'ham Forest,eng Premier League,34-131,1989,11,2,209,2.3,0.00,0.00,0.00,0.00,0.00,0.00,0.87,0.00,0.13,0.13,0.00,0.13,0.00,2.17,2.17,0.00,0.00,0.00,0.00,0.00,0.12,0.02,0.14,0.12,0.14,https://fbref.com/en/players/8d3c902d/Cheikhou-Kouyate,8d3c902d,Big 5 combined
1341,Mateo Kovačić,CRO,MF,Manchester City,eng Premier League,29-360,1994,26,13,1289,14.3,0.07,0.00,0.07,0.07,0.00,0.00,0.21,0.00,0.08,0.08,0.10,0.19,2.31,6.08,2.38,0.07,0.00,0.07,0.07,0.07,0.08,0.11,0.19,0.08,0.19,https://fbref.com/en/players/79c0821a/Mateo-Kovacic,79c0821a,Big 5 combined
1342,Viktor Kovalenko,UKR,MF,Empoli,it Serie A,28-076,1996,17,4,613,6.8,0.15,0.15,0.29,0.15,0.00,0.00,0.15,0.00,0.13,0.13,0.12,0.25,0.59,2.94,3.53,0.15,0.15,0.29,0.15,0.29,0.14,0.12,0.25,0.14,0.25,https://fbref.com/en/players/9d60028d/Viktor-Kovalenko,9d60028d,Big 5 combined
1343,Matej Kovar,CZE,GK,Leverkusen,de Bundesliga,23-349,2000,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/bc67a0e1/Matej-Kovar,bc67a0e1,Big 5 combined
1344,Dawid Kownacki,POL,"FW,MF",Werder Bremen,de Bundesliga,27-047,1997,19,3,358,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.28,0.07,0.35,1.00,1.50,5.50,0.00,0.00,0.00,0.00,0.00,0.27,0.08,0.35,0.27,0.35,https://fbref.com/en/players/be5e1c4c/Dawid-Kownacki,be5e1c4c,Big 5 combined
1345,Emil Krafth,SWE,DF,Newcastle Utd,eng Premier League,29-272,1994,13,4,553,6.1,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.03,0.03,0.13,0.16,1.48,3.61,4.43,0.00,0.00,0.00,0.00,0.00,0.03,0.14,0.16,0.03,0.16,https://fbref.com/en/players/77cf6852/Emil-Krafth,77cf6852,Big 5 combined
1346,Alex Král,CZE,MF,Union Berlin,de Bundesliga,25-347,1998,23,13,1349,15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.11,0.11,0.03,0.13,1.00,2.93,2.53,0.00,0.00,0.00,0.00,0.00,0.11,0.02,0.14,0.11,0.14,https://fbref.com/en/players/e717705a/Alex-Kral,e717705a,Big 5 combined
1347,Andrej Kramarić,CRO,"MF,FW",Hoffenheim,de Bundesliga,32-316,1991,27,22,1929,21.4,0.51,0.14,0.65,0.28,0.23,0.23,0.14,0.00,0.42,0.23,0.25,0.49,2.66,4.72,6.64,0.51,0.14,0.65,0.28,0.42,0.42,0.25,0.67,0.23,0.48,https://fbref.com/en/players/603cb947/Andrej-Kramaric,603cb947,Big 5 combined
1348,Christoph Kramer,GER,MF,M'Gladbach,de Bundesliga,33-071,1991,14,1,249,2.8,0.00,0.00,0.00,0.00,0.00,0.00,1.43,0.00,0.04,0.04,0.04,0.07,3.57,6.07,2.86,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,https://fbref.com/en/players/496aeede/Christoph-Kramer,496aeede,Big 5 combined
1349,Frans Krätzig,GER,DF,Bayern Munich,de Bundesliga,21-107,2003,4,0,56,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.50,0.83,0.00,11.7,11.7,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.84,0.42,0.84,https://fbref.com/en/players/1fc08838/Frans-Kratzig,1fc08838,Big 5 combined
1350,Tom Krauß,GER,MF,Mainz 05,de Bundesliga,22-313,2001,27,13,1322,14.7,0.07,0.14,0.20,0.07,0.00,0.00,0.34,0.00,0.05,0.05,0.02,0.07,0.82,4.29,1.90,0.07,0.14,0.20,0.07,0.20,0.05,0.02,0.08,0.05,0.08,https://fbref.com/en/players/9f77012e/Tom-Krauss,9f77012e,Big 5 combined
1351,Rasmus Kristensen,DEN,DF,Roma,it Serie A,26-294,1997,26,17,1568,17.4,0.06,0.06,0.11,0.06,0.00,0.00,0.29,0.00,0.02,0.02,0.05,0.08,0.92,2.01,6.21,0.06,0.06,0.11,0.06,0.11,0.03,0.05,0.08,0.03,0.08,https://fbref.com/en/players/39769cff/Rasmus-Kristensen,39769cff,Big 5 combined
1352,Thomas Kristensen,DEN,DF,Udinese,it Serie A,22-104,2002,22,19,1736,19.3,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.05,0.02,0.02,0.01,0.03,0.78,2.07,0.10,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,https://fbref.com/en/players/fadf9a05/Thomas-Kristensen,fadf9a05,Big 5 combined
1353,Toni Kroos,GER,MF,Real Madrid,es La Liga,34-117,1990,30,22,1946,21.6,0.05,0.32,0.37,0.05,0.00,0.00,0.14,0.00,0.07,0.07,0.21,0.29,1.44,11.9,1.20,0.05,0.32,0.37,0.05,0.37,0.07,0.21,0.29,0.07,0.29,https://fbref.com/en/players/6ce1f46f/Toni-Kroos,6ce1f46f,Big 5 combined
1354,Nikola Krstović,MNE,FW,Lecce,it Serie A,24-025,2000,31,26,2049,22.8,0.26,0.04,0.31,0.22,0.04,0.13,0.18,0.04,0.44,0.33,0.12,0.45,1.27,1.89,4.65,0.26,0.04,0.31,0.22,0.26,0.44,0.12,0.56,0.33,0.45,https://fbref.com/en/players/473803c9/Nikola-Krstovic,473803c9,Big 5 combined
1355,Rade Krunić,BIH,MF,Milan,it Serie A,30-206,1993,10,8,687,7.6,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.01,0.01,0.07,0.08,0.66,3.16,0.39,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.08,0.02,0.08,https://fbref.com/en/players/817c6964/Rade-Krunic,817c6964,Big 5 combined
1356,Lukas Kübler,GER,DF,Freiburg,de Bundesliga,31-244,1992,23,19,1577,17.5,0.06,0.00,0.06,0.06,0.00,0.00,0.29,0.00,0.03,0.03,0.01,0.05,0.34,3.54,1.43,0.06,0.00,0.06,0.06,0.06,0.03,0.01,0.04,0.03,0.04,https://fbref.com/en/players/2a29eb9b/Lukas-Kubler,2a29eb9b,Big 5 combined
1357,Takefusa Kubo,JPN,"FW,MF",Real Sociedad,es La Liga,22-331,2001,26,22,1947,21.6,0.32,0.14,0.46,0.32,0.00,0.00,0.05,0.00,0.16,0.16,0.25,0.41,5.60,3.61,9.49,0.32,0.14,0.46,0.32,0.46,0.16,0.25,0.41,0.16,0.41,https://fbref.com/en/players/16aa3654/Takefusa-Kubo,16aa3654,Big 5 combined
1358,Christian Kühlwetter,GER,MF,Heidenheim,de Bundesliga,28-009,1996,1,0,8,0.1,0.00,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,6.00,0.00,0.00,0.00,0.00,11.25,11.25,0.00,11.25,0.00,6.97,6.97,0.00,6.97,https://fbref.com/en/players/2a73f18d/Christian-Kuhlwetter,2a73f18d,Big 5 combined
1359,Dejan Kulusevski,SWE,"FW,MF",Tottenham,eng Premier League,24-005,2000,31,27,2412,26.8,0.22,0.11,0.34,0.22,0.00,0.00,0.26,0.00,0.13,0.13,0.27,0.40,5.11,4.96,12.8,0.22,0.11,0.34,0.22,0.34,0.13,0.27,0.40,0.13,0.40,https://fbref.com/en/players/df3cda47/Dejan-Kulusevski,df3cda47,Big 5 combined
1360,Sael Kumbedi,FRA,DF,Lyon,fr Ligue 1,19-035,2005,17,8,924,10.3,0.00,0.10,0.10,0.00,0.00,0.00,0.29,0.00,0.02,0.02,0.07,0.10,1.84,4.08,7.28,0.00,0.10,0.10,0.00,0.10,0.02,0.07,0.09,0.02,0.09,https://fbref.com/en/players/c385bf49/Sael-Kumbedi,c385bf49,Big 5 combined
1361,Marash Kumbulla,ALB,DF,Sassuolo,it Serie A,24-082,2000,4,1,134,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/a40819d9/Marash-Kumbulla,a40819d9,Big 5 combined
1362,Justin Kumi,ITA,FW,Sassuolo,it Serie A,19-289,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/2d5f2ff0/Justin-Kumi,2d5f2ff0,Big 5 combined
1363,Layvin Kurzawa,FRA,DF,Paris S-G,fr Ligue 1,31-239,1992,1,0,9,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/41e7ef1c/Layvin-Kurzawa,41e7ef1c,Big 5 combined
1364,Berkan Kutlu,TUR,MF,Genoa,it Serie A,26-096,1998,6,0,199,2.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.14,0.18,1.82,2.27,4.09,0.00,0.00,0.00,0.00,0.00,0.07,0.13,0.20,0.07,0.20,https://fbref.com/en/players/794364d7/Berkan-Kutlu,794364d7,Big 5 combined
1365,Daler Kuzyaev,RUS,MF,Le Havre,fr Ligue 1,31-106,1993,27,23,1986,22.1,0.09,0.09,0.18,0.09,0.00,0.00,0.05,0.00,0.08,0.08,0.06,0.14,1.04,5.20,4.34,0.09,0.09,0.18,0.09,0.18,0.08,0.06,0.14,0.08,0.14,https://fbref.com/en/players/d4e93bab/Daler-Kuzyaev,d4e93bab,Big 5 combined
1366,Khvicha Kvaratskhelia,GEO,FW,Napoli,it Serie A,23-078,2001,31,29,2482,27.6,0.36,0.22,0.58,0.36,0.00,0.00,0.22,0.00,0.38,0.37,0.24,0.61,6.12,3.01,8.41,0.36,0.22,0.58,0.36,0.58,0.38,0.23,0.61,0.38,0.61,https://fbref.com/en/players/dea88efd/Khvicha-Kvaratskhelia,dea88efd,Big 5 combined
