Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
1177,Khvicha Kvaratskhelia,GEO,FW,Napoli,it Serie A,22-330,2001,15.3,29.9,37.6,79.7,465.9,87.6,17.3,19.3,89.8,8.50,10.5,81.3,2.88,5.16,55.7,0.20,0.20,0.18,-0.01,1.83,1.11,1.18,0.00,2.68,https://fbref.com/en/players/dea88efd/Khvicha-Kvaratskhelia,dea88efd,Big 5 combined
1178,Giorgi Kvernadze,GEO,"FW,DF",Frosinone,it Serie A,20-335,2003,0.7,44.3,51.4,86.1,711.4,81.4,24.3,25.7,94.4,14.3,15.7,90.9,4.29,5.71,75.0,0.00,0.00,0.00,0.00,0.00,1.43,0.00,0.00,1.43,https://fbref.com/en/players/70006831/Giorgi-Kvernadze,70006831,Big 5 combined
1179,Moritz-Broni Kwarteng,GHA,"FW,MF",Bochum,de Bundesliga,25-255,1998,1.8,18.3,26.7,68.8,263.3,57.2,11.1,11.7,95.2,6.11,10.0,61.1,1.11,2.78,40.0,0.56,0.28,0.06,0.28,2.22,1.11,1.11,0.00,2.78,https://fbref.com/en/players/1e2057aa/Moritz-Broni-Kwarteng,1e2057aa,Big 5 combined
1180,Grejohn Kyei,FRA,FW,Clermont Foot,fr Ligue 1,28-149,1995,6.6,18.3,23.8,77.1,258.6,47.6,9.70,11.5,84.2,3.94,5.61,70.3,1.82,2.27,80.0,0.00,0.06,0.08,-0.06,1.06,1.97,0.91,0.15,2.27,https://fbref.com/en/players/397ba086/Grejohn-Kyei,397ba086,Big 5 combined
1181,Giorgos Kyriakopoulos,GRE,"DF,MF",Monza,it Serie A,27-337,1996,12.4,46.6,56.7,82.2,789.5,262.2,23.9,25.2,94.9,18.4,22.1,83.2,3.55,6.13,57.9,0.24,0.10,0.11,0.15,1.13,2.82,1.13,0.73,3.15,https://fbref.com/en/players/0a483542/Giorgos-Kyriakopoulos,0a483542,Big 5 combined
1182,Luca de la Torre,USA,MF,Celta Vigo,es La Liga,25-230,1998,12.5,29.3,35.0,83.6,377.4,102.3,19.2,21.0,91.3,8.40,9.68,86.8,0.56,1.20,46.7,0.16,0.09,0.10,0.07,0.96,3.20,0.32,0.00,4.88,https://fbref.com/en/players/e9241b40/Luca-de-la-Torre,e9241b40,Big 5 combined
1183,Gaëtan Laborde,FRA,FW,Nice,fr Ligue 1,29-250,1994,13.2,16.6,26.3,63.1,263.6,62.7,8.64,12.0,71.7,5.91,9.09,65.0,1.21,3.03,40.0,0.08,0.08,0.10,0.00,1.36,1.06,1.21,0.68,1.82,https://fbref.com/en/players/7cdda3bf/Gaetan-Laborde,7cdda3bf,Big 5 combined
1184,Alexandre Lacazette,FRA,FW,Lyon,fr Ligue 1,32-225,1991,12.6,15.6,20.6,76.1,225.7,62.1,8.17,10.4,78.6,4.52,5.71,79.2,1.19,1.75,68.2,0.00,0.08,0.09,-0.08,0.71,1.43,0.48,0.00,1.98,https://fbref.com/en/players/9dbb75ca/Alexandre-Lacazette,9dbb75ca,Big 5 combined
1185,Maxence Lacroix,FRA,DF,Wolfsburg,de Bundesliga,23-277,2000,13.2,54.2,62.7,86.5,1146.2,406.9,15.4,16.9,91.0,30.8,34.4,89.6,7.73,9.70,79.7,0.00,0.02,0.04,-0.02,0.30,3.94,0.23,0.15,4.09,https://fbref.com/en/players/277c49ed/Maxence-Lacroix,277c49ed,Big 5 combined
1186,Alban Lafont,FRA,GK,Nantes,fr Ligue 1,24-350,1999,11.7,28.4,37.7,75.3,697.9,469.5,7.01,7.09,98.8,13.9,14.0,99.4,7.18,16.3,44.0,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.17,https://fbref.com/en/players/4e7db402/Alban-Lafont,4e7db402,Big 5 combined
1187,Aïssa Laïdouni,TUN,MF,Union Berlin,de Bundesliga,27-026,1996,8.0,34.5,43.8,78.9,593.6,167.4,15.3,18.9,80.8,14.6,17.1,85.4,3.38,4.88,69.2,0.38,0.06,0.14,0.31,1.00,3.88,1.13,0.38,5.25,https://fbref.com/en/players/22798128/Aissa-Laidouni,22798128,Big 5 combined
1188,Konrad Laimer,AUT,"DF,MF",Bayern Munich,de Bundesliga,26-226,1997,11.3,62.3,71.6,87.0,919.6,247.3,35.9,39.6,90.6,24.0,26.3,91.2,1.68,2.21,76.0,0.18,0.21,0.23,-0.04,1.24,4.16,0.88,0.35,5.04,https://fbref.com/en/players/c1b7847c/Konrad-Laimer,c1b7847c,Big 5 combined
1189,Kenny Lala,FRA,DF,Brest,fr Ligue 1,32-097,1991,17.0,48.6,63.1,77.1,1016.6,346.2,18.0,20.8,86.4,20.6,26.1,79.1,9.59,14.4,66.8,0.12,0.08,0.11,0.04,0.76,4.24,1.35,0.65,5.35,https://fbref.com/en/players/770d7eb8/Kenny-Lala,770d7eb8,Big 5 combined
1190,Adam Lallana,ENG,MF,Brighton,eng Premier League,35-243,1988,5.6,48.9,54.3,90.1,537.0,102.7,34.3,36.4,94.1,8.93,10.0,89.3,0.71,0.71,100.0,0.18,0.14,0.16,0.04,1.61,2.32,0.54,0.00,3.39,https://fbref.com/en/players/99813635/Adam-Lallana,99813635,Big 5 combined
1191,Mathis Lambourde,FRA,FW,Rennes,fr Ligue 1,17-364,2006,0.1,40.0,50.0,80.0,450.0,130.0,30.0,40.0,75.0,10.0,10.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/0da3d7ab/Mathis-Lambourde,0da3d7ab,Big 5 combined
1192,Érik Lamela,ARG,"FW,MF",Sevilla,es La Liga,31-310,1992,3.8,23.4,28.9,80.9,288.7,74.2,14.7,16.8,87.5,6.58,8.16,80.6,0.26,1.05,25.0,0.00,0.24,0.16,-0.24,2.63,1.05,1.32,0.53,2.63,https://fbref.com/en/players/abe66106/Erik-Lamela,abe66106,Big 5 combined
1193,Mohamed Lamine Bayo,GUI,FW,Le Havre,fr Ligue 1,25-218,1998,9.9,14.0,20.8,67.5,181.4,33.5,8.28,11.8,70.1,3.84,5.25,73.1,0.40,0.81,50.0,0.10,0.04,0.05,0.06,1.01,0.81,0.81,0.10,1.31,https://fbref.com/en/players/01870104/Mohamed-Lamine-Bayo,01870104,Big 5 combined
1194,Tariq Lamptey,GHA,"DF,FW",Brighton,eng Premier League,23-100,2000,1.9,53.7,63.2,85.0,803.2,146.8,28.9,31.6,91.7,18.9,22.6,83.7,3.16,4.74,66.7,1.05,0.21,0.05,0.84,1.05,2.11,1.05,0.00,3.68,https://fbref.com/en/players/f4e433d4/Tariq-Lamptey,f4e433d4,Big 5 combined
1195,Gianluca Lapadula,PER,FW,Cagliari,it Serie A,33-335,1990,2.7,8.15,14.4,56.4,118.5,5.93,4.81,8.15,59.1,2.22,2.22,100.0,0.74,1.85,40.0,0.00,0.04,0.00,-0.04,1.11,0.00,0.00,0.00,0.00,https://fbref.com/en/players/2ead2809/Gianluca-Lapadula,2ead2809,Big 5 combined
1196,Aymeric Laporte,ESP,DF,Manchester City,eng Premier League,29-226,1994,0.1,110.0,110.0,100.0,2020.0,480.0,40.0,40.0,100.0,70.0,70.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/119b9a8e/Aymeric-Laporte,119b9a8e,Big 5 combined
1197,Julien Laporte,FRA,DF,Lorient,fr Ligue 1,30-065,1993,10.6,46.3,51.7,89.6,970.5,348.1,13.1,13.6,96.5,24.9,26.5,94.0,7.55,10.4,72.7,0.00,0.00,0.01,0.00,0.09,3.40,0.38,0.09,2.92,https://fbref.com/en/players/f066022d/Julien-Laporte,f066022d,Big 5 combined
1198,Cyle Larin,CAN,FW,Mallorca,es La Liga,28-266,1995,9.5,9.58,14.5,65.9,114.7,17.5,5.89,7.89,74.7,2.32,3.58,64.7,0.42,0.63,66.7,0.00,0.03,0.02,-0.03,0.63,0.32,0.11,0.00,0.53,https://fbref.com/en/players/e7af9060/Cyle-Larin,e7af9060,Big 5 combined
1199,Yasser Larouci,ALG,DF,Sheffield Utd,eng Premier League,23-007,2001,3.1,18.7,25.2,74.4,278.7,118.7,11.0,12.6,87.2,5.48,6.45,85.0,1.29,3.23,40.0,0.00,0.00,0.00,0.00,0.00,1.29,0.00,0.00,1.61,https://fbref.com/en/players/0ed063d6/Yasser-Larouci,0ed063d6,Big 5 combined
1200,Hugo Larsson,SWE,MF,Eint Frankfurt,de Bundesliga,19-195,2004,12.8,40.9,46.7,87.5,681.1,171.5,18.9,20.5,92.4,17.9,20.2,88.8,2.81,3.83,73.5,0.08,0.10,0.09,-0.02,0.63,2.34,0.39,0.16,3.05,https://fbref.com/en/players/00c9a283/Hugo-Larsson,00c9a283,Big 5 combined
1201,Jamaal Lascelles,ENG,DF,Newcastle Utd,eng Premier League,30-058,1993,11.6,56.6,65.3,86.5,986.2,314.1,21.1,23.1,91.4,32.6,35.6,91.5,2.50,5.26,47.5,0.00,0.01,0.01,-0.01,0.17,3.19,0.09,0.00,2.59,https://fbref.com/en/players/450ab6fc/Jamaal-Lascelles,450ab6fc,Big 5 combined
1202,Juanmi Latasa,ESP,FW,Getafe,es La Liga,22-291,2001,11.4,11.2,22.7,49.4,145.6,21.9,6.75,12.8,52.7,2.89,6.14,47.1,0.53,1.14,46.2,0.00,0.07,0.06,-0.07,0.79,0.79,0.53,0.00,1.05,https://fbref.com/en/players/2bea832e/Juanmi-Latasa,2bea832e,Big 5 combined
1203,Toni Lato,ESP,DF,Mallorca,es La Liga,26-048,1997,7.3,29.9,41.2,72.4,482.3,156.0,16.0,19.3,83.0,10.0,14.7,68.2,2.74,4.93,55.6,0.14,0.10,0.04,0.04,0.55,0.82,0.41,0.41,0.82,https://fbref.com/en/players/8e088e04/Toni-Lato,8e088e04,Big 5 combined
1204,Armand Lauriente,FRA,FW,Sassuolo,it Serie A,25-035,1998,16.1,21.0,29.7,70.7,327.5,112.9,12.0,14.4,83.6,6.58,9.19,71.6,1.49,3.85,38.7,0.19,0.18,0.14,0.01,1.93,1.49,1.30,0.19,3.29,https://fbref.com/en/players/2d22cea7/Armand-Lauriente,2d22cea7,Big 5 combined
1205,Roméo Lavia,BEL,MF,Chelsea,eng Premier League,20-002,2004,0.4,55.0,67.5,81.5,875.0,127.5,22.5,25.0,90.0,32.5,35.0,92.9,0.00,2.50,0.0,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,2.50,https://fbref.com/en/players/ecad9aa5/Romeo-Lavia,ecad9aa5,Big 5 combined
1206,Lázaro,BRA,"FW,MF",Almería,es La Liga,21-302,2002,2.8,21.1,30.0,70.2,338.9,82.1,10.7,14.6,73.2,7.50,8.21,91.3,1.79,3.93,45.5,0.00,0.18,0.11,-0.18,1.43,0.71,0.00,0.00,1.43,https://fbref.com/en/players/86ff856b/Lazaro,86ff856b,Big 5 combined
1207,Valentino Lazaro,AUT,DF,Torino,it Serie A,27-290,1996,12.6,38.0,50.0,76.0,598.9,224.8,20.3,22.3,91.1,14.0,18.8,74.3,2.46,6.11,40.3,0.08,0.11,0.10,-0.03,1.43,3.49,1.19,0.56,4.52,https://fbref.com/en/players/016ff750/Valentino-Lazaro,016ff750,Big 5 combined
1208,Darko Lazović,SRB,"FW,DF",Hellas Verona,it Serie A,33-115,1990,9.1,21.8,33.1,65.8,388.2,147.1,9.67,11.9,81.5,8.79,13.2,66.7,2.86,5.71,50.0,0.00,0.09,0.12,-0.09,1.21,2.64,0.99,0.33,3.41,https://fbref.com/en/players/5128bde4/Darko-Lazovic,5128bde4,Big 5 combined
1209,Manuel Lazzari,ITA,DF,Lazio,it Serie A,30-040,1993,10.5,50.3,58.6,85.9,747.9,225.8,27.2,29.3,92.9,19.5,22.2,88.0,2.00,3.52,56.8,0.19,0.10,0.10,0.10,0.48,3.71,0.67,0.29,4.48,https://fbref.com/en/players/02caf6e0/Manuel-Lazzari,02caf6e0,Big 5 combined
1210,Théo Le Bris,FRA,"MF,DF",Lorient,fr Ligue 1,21-099,2002,7.5,28.4,37.1,76.6,412.8,114.3,15.5,19.1,81.1,11.2,14.5,77.1,0.67,1.33,50.0,0.13,0.08,0.08,0.05,0.80,1.60,1.20,0.13,3.73,https://fbref.com/en/players/afe39ca8/Theo-Le-Bris,afe39ca8,Big 5 combined
1211,Julien Le Cardinal,FRA,DF,Brest,fr Ligue 1,26-158,1997,2.1,39.5,50.5,78.3,786.7,340.5,12.9,16.2,79.4,19.0,21.4,88.9,5.71,9.52,60.0,0.00,0.05,0.00,-0.05,0.48,4.76,0.00,0.00,4.76,https://fbref.com/en/players/547a72ad/Julien-Le-Cardinal,547a72ad,Big 5 combined
1212,Julien Le Cardinal,FRA,DF,Lens,fr Ligue 1,26-158,1997,0.6,38.3,53.3,71.9,725.0,335.0,10.0,13.3,75.0,20.0,25.0,80.0,6.67,11.7,57.1,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,6.67,https://fbref.com/en/players/547a72ad/Julien-Le-Cardinal,547a72ad,Big 5 combined
1213,Jérémy Le Douaron,FRA,FW,Brest,fr Ligue 1,25-262,1998,13.0,14.2,21.7,65.6,205.7,39.0,8.46,11.4,74.3,4.08,5.62,72.6,0.92,1.77,52.2,0.00,0.05,0.08,-0.05,0.62,0.62,0.38,0.31,1.00,https://fbref.com/en/players/88c4d190/Jeremy-Le-Douaron,88c4d190,Big 5 combined
1214,Enzo Le Fée,FRA,MF,Rennes,fr Ligue 1,23-339,2000,11.2,51.8,60.5,85.5,845.8,271.4,25.6,28.6,89.7,18.7,21.4,87.1,4.64,6.34,73.2,0.00,0.07,0.14,-0.07,1.61,6.16,1.61,0.18,7.41,https://fbref.com/en/players/6f806d99/Enzo-Le-Fee,6f806d99,Big 5 combined
1215,Vincent Le Goff,FRA,"DF,MF",Lorient,fr Ligue 1,34-085,1989,6.0,42.0,53.7,78.3,655.3,251.5,22.5,25.3,88.8,15.3,19.7,78.0,3.00,6.17,48.6,0.17,0.15,0.15,0.02,1.50,2.83,0.67,0.00,3.67,https://fbref.com/en/players/2321ea6e/Vincent-Le-Goff,2321ea6e,Big 5 combined
1216,Robin Le Normand,ESP,DF,Real Sociedad,es La Liga,27-058,1996,14.6,55.3,61.7,89.6,1085.0,289.6,18.0,19.2,93.6,30.1,32.6,92.4,6.64,8.63,77.0,0.00,0.01,0.05,-0.01,0.21,3.56,0.00,0.00,3.84,https://fbref.com/en/players/9a64e67e/Robin-Le-Normand,9a64e67e,Big 5 combined
1217,Nicola Leali,ITA,GK,Genoa,it Serie A,30-325,1993,1.0,25.0,45.0,55.6,850.0,791.0,3.00,3.00,100.0,8.00,8.00,100.0,13.0,33.0,39.4,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,https://fbref.com/en/players/5f9970a0/Nicola-Leali,5f9970a0,Big 5 combined
1218,Rafael Leão,POR,"FW,MF",Milan,it Serie A,24-212,1999,12.7,24.0,33.5,71.8,397.7,88.9,11.7,14.6,80.1,9.21,12.0,76.5,2.13,3.62,58.7,0.39,0.33,0.32,0.06,2.36,1.89,1.73,0.79,3.15,https://fbref.com/en/players/20730eae/Rafael-Leao,20730eae,Big 5 combined
1219,Adrien Lebeau,FRA,"MF,FW",Brest,fr Ligue 1,24-184,1999,0.3,46.7,73.3,63.6,696.7,226.7,23.3,33.3,70.0,16.7,20.0,83.3,3.33,6.67,50.0,3.33,1.67,1.00,1.67,13.3,3.33,0.00,0.00,0.00,https://fbref.com/en/players/ca122e29/Adrien-Lebeau,ca122e29,Big 5 combined
1220,Benjamin Lecomte,FRA,GK,Montpellier,fr Ligue 1,32-257,1991,17.0,22.2,34.9,63.6,664.5,535.9,2.59,2.65,97.8,9.82,10.2,96.0,9.59,21.6,44.4,0.06,0.03,0.01,0.03,0.12,0.29,0.00,0.00,0.00,https://fbref.com/en/players/2fa2a875/Benjamin-Lecomte,2fa2a875,Big 5 combined
1221,Jeremías Ledesma,ARG,GK,Cádiz,es La Liga,30-329,1993,15.9,19.7,35.2,56.0,774.7,680.6,2.20,2.26,97.2,6.48,6.54,99.0,11.0,26.1,42.2,0.00,0.00,0.01,0.00,0.00,1.51,0.00,0.00,0.00,https://fbref.com/en/players/6c4776b1/Jeremias-Ledesma,6c4776b1,Big 5 combined
1222,Pierre Lees-Melou,FRA,MF,Brest,fr Ligue 1,30-228,1993,15.8,48.7,58.5,83.3,984.5,323.4,18.2,20.4,89.4,20.5,23.2,88.3,8.80,12.3,71.6,0.00,0.04,0.06,-0.04,0.70,4.24,0.76,0.00,6.27,https://fbref.com/en/players/f5044e54/Pierre-Lees-Melou,f5044e54,Big 5 combined
1223,Diogo Leite,POR,DF,Union Berlin,de Bundesliga,24-350,1999,14.6,47.1,57.8,81.4,887.7,353.3,17.6,19.5,90.2,23.7,26.6,88.9,4.79,9.11,52.6,0.00,0.01,0.03,-0.01,0.21,4.66,0.14,0.07,5.07,https://fbref.com/en/players/c4987edc/Diogo-Leite,c4987edc,Big 5 combined
1224,Maxim Leitsch,GER,DF,Mainz 05,de Bundesliga,25-235,1998,4.1,28.0,36.8,76.2,598.0,234.1,8.05,12.0,67.3,15.6,18.5,84.2,4.15,5.61,73.9,0.00,0.00,0.02,0.00,0.00,1.71,0.24,0.00,1.71,https://fbref.com/en/players/7e12a98d/Maxim-Leitsch,7e12a98d,Big 5 combined
1225,Florian Lejeune,FRA,DF,Rayo Vallecano,es La Liga,32-233,1991,19.0,43.8,53.9,81.3,987.9,463.4,10.8,12.1,89.6,24.5,26.3,93.0,8.05,14.3,56.5,0.05,0.02,0.02,0.04,0.26,3.63,0.16,0.00,3.37,https://fbref.com/en/players/6eaed4eb/Florian-Lejeune,6eaed4eb,Big 5 combined
1226,Iñigo Lekue,ESP,DF,Athletic Club,es La Liga,30-249,1993,11.9,41.3,53.6,77.1,710.8,283.4,18.1,20.8,86.7,20.1,24.1,83.3,2.52,5.97,42.3,0.17,0.06,0.04,0.11,0.92,4.62,1.01,0.42,5.46,https://fbref.com/en/players/59b7d823/Inigo-Lekue,59b7d823,Big 5 combined
1227,Thomas Lemar,FRA,MF,Atlético Madrid,es La Liga,28-057,1995,1.8,39.4,46.7,84.5,566.1,158.3,22.8,25.6,89.1,13.9,16.1,86.2,1.11,3.33,33.3,0.00,0.00,0.06,0.00,0.56,5.56,0.56,0.00,7.22,https://fbref.com/en/players/4dbd0916/Thomas-Lemar,4dbd0916,Big 5 combined
1228,Mario Lemina,GAB,MF,Wolves,eng Premier League,30-129,1993,16.3,36.2,42.9,84.3,576.7,155.5,19.8,21.8,91.0,12.9,15.0,86.1,2.70,4.48,60.3,0.00,0.01,0.03,-0.01,0.25,2.02,0.18,0.06,2.58,https://fbref.com/en/players/2b471f99/Mario-Lemina,2b471f99,Big 5 combined
1229,Álvaro Lemos,ESP,DF,Las Palmas,es La Liga,30-284,1993,2.2,54.1,67.3,80.4,795.9,180.5,32.7,35.0,93.5,18.6,23.6,78.8,2.27,5.91,38.5,0.00,0.00,0.05,0.00,0.00,5.00,0.91,0.00,6.82,https://fbref.com/en/players/31d45cc8/Alvaro-Lemos,31d45cc8,Big 5 combined
1230,Clément Lenglet,FRA,DF,Aston Villa,eng Premier League,28-205,1995,2.7,74.1,84.1,88.1,1408.5,399.6,27.8,30.4,91.5,39.6,41.9,94.7,6.67,11.1,60.0,0.37,0.30,0.15,0.07,0.74,5.19,0.74,0.00,9.26,https://fbref.com/en/players/4f28a6ff/Clement-Lenglet,4f28a6ff,Big 5 combined
1231,Bernd Leno,GER,GK,Fulham,eng Premier League,31-310,1992,20.0,32.3,40.7,79.2,779.0,474.9,6.65,6.65,100.0,19.1,19.1,99.7,6.40,14.7,43.5,0.00,0.00,0.00,0.00,0.00,0.65,0.00,0.00,0.00,https://fbref.com/en/players/2628fd2b/Bernd-Leno,2628fd2b,Big 5 combined
1232,Christopher Lenz,GER,"DF,MF",RB Leipzig,de Bundesliga,29-108,1994,0.4,85.0,100.0,85.0,1360.0,512.5,32.5,35.0,92.9,47.5,47.5,100.0,0.00,7.50,0.0,0.00,0.25,0.25,-0.25,2.50,7.50,0.00,0.00,5.00,https://fbref.com/en/players/bbd86530/Christopher-Lenz,bbd86530,Big 5 combined
1233,Christopher Lenz,GER,DF,Eint Frankfurt,de Bundesliga,29-108,1994,0.1,50.0,90.0,55.6,1170.0,530.0,0.00,0.00,,40.0,40.0,100.0,10.0,40.0,25.0,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,10.0,https://fbref.com/en/players/bbd86530/Christopher-Lenz,bbd86530,Big 5 combined
1234,Johann Lepenant,FRA,MF,Lyon,fr Ligue 1,21-078,2002,2.8,58.9,66.4,88.7,1061.4,262.1,24.6,26.8,92.0,26.8,30.0,89.3,5.36,6.43,83.3,0.00,0.04,0.04,-0.04,1.07,7.86,0.00,0.00,8.57,https://fbref.com/en/players/1e52971c/Johann-Lepenant,1e52971c,Big 5 combined
1235,Jefferson Lerma,COL,MF,Crystal Palace,eng Premier League,29-075,1994,14.5,39.0,48.3,80.7,592.6,178.0,21.4,24.4,87.6,13.8,17.0,81.0,2.34,4.07,57.6,0.07,0.11,0.10,-0.04,1.10,4.07,0.76,0.14,3.52,https://fbref.com/en/players/9b5ce51a/Jefferson-Lerma,9b5ce51a,Big 5 combined
1236,Léo Leroy,FRA,MF,Montpellier,fr Ligue 1,23-328,2000,1.7,33.5,47.1,71.3,572.9,282.4,16.5,21.2,77.8,12.4,14.7,84.0,3.53,7.65,46.2,0.59,0.41,0.06,0.18,1.18,4.12,1.18,0.00,8.24,https://fbref.com/en/players/fcc84a07/Leo-Leroy,fcc84a07,Big 5 combined
1237,Robert Lewandowski,POL,FW,Barcelona,es La Liga,35-140,1988,15.1,13.6,19.1,71.5,177.7,37.4,8.68,10.5,82.9,3.84,5.56,69.0,0.40,0.66,60.0,0.26,0.19,0.09,0.08,1.06,0.93,0.73,0.00,2.32,https://fbref.com/en/players/8d78e732/Robert-Lewandowski,8d78e732,Big 5 combined
1238,Jamie Leweling,GER,"MF,FW",Stuttgart,de Bundesliga,22-316,2001,6.1,24.1,31.8,75.8,368.7,74.3,13.0,15.1,85.9,7.54,9.67,78.0,1.80,3.44,52.4,0.16,0.33,0.34,-0.16,1.80,0.98,0.98,0.82,1.48,https://fbref.com/en/players/13fe7b69/Jamie-Leweling,13fe7b69,Big 5 combined
1239,Rico Lewis,ENG,"MF,DF",Manchester City,eng Premier League,19-048,2004,4.0,42.0,46.5,90.3,579.0,79.8,26.5,28.0,94.6,13.8,14.5,94.8,1.00,1.75,57.1,0.00,0.13,0.10,-0.13,1.25,2.50,0.50,0.00,2.25,https://fbref.com/en/players/b57e066e/Rico-Lewis,b57e066e,Big 5 combined
1240,Keane Lewis-Potter,ENG,"FW,MF",Brentford,eng Premier League,22-320,2001,6.4,17.7,25.8,68.5,270.6,60.8,9.84,12.8,76.8,5.63,8.28,67.9,1.56,3.44,45.5,0.00,0.11,0.13,-0.11,0.78,0.78,1.25,0.31,2.50,https://fbref.com/en/players/41f08ac8/Keane-Lewis-Potter,41f08ac8,Big 5 combined
1241,Philipp Lienhart,AUT,DF,Freiburg,de Bundesliga,27-181,1996,13.7,58.2,70.4,82.7,1210.1,462.0,16.9,19.2,87.8,33.1,35.8,92.7,8.03,14.4,55.8,0.00,0.08,0.04,-0.08,0.22,3.50,0.36,0.00,3.80,https://fbref.com/en/players/302527b2/Philipp-Lienhart,302527b2,Big 5 combined
1242,Matthijs de Ligt,NED,DF,Bayern Munich,de Bundesliga,24-149,1999,3.1,61.3,66.8,91.8,1221.9,411.6,16.5,17.4,94.4,39.4,40.3,97.6,5.16,8.39,61.5,0.00,0.00,0.03,0.00,0.00,5.16,0.00,0.00,3.23,https://fbref.com/en/players/d6e53a3a/Matthijs-de-Ligt,d6e53a3a,Big 5 combined
1243,Victor Lindelöf,SWE,DF,Manchester Utd,eng Premier League,29-175,1994,10.0,63.4,70.4,90.1,1030.0,271.7,28.9,31.7,91.2,28.4,30.5,93.1,3.90,5.60,69.6,0.10,0.03,0.03,0.07,0.60,5.00,0.20,0.00,2.70,https://fbref.com/en/players/f5deef4c/Victor-Lindelof,f5deef4c,Big 5 combined
1244,Jesper Lindstrøm,DEN,"FW,MF",Napoli,it Serie A,23-313,2000,2.5,36.0,42.8,84.1,467.6,121.6,24.4,25.6,95.3,8.00,10.0,80.0,1.60,2.40,66.7,0.00,0.24,0.20,-0.24,2.00,2.80,1.60,0.40,3.60,https://fbref.com/en/players/37dc1a48/Jesper-Lindstrom,37dc1a48,Big 5 combined
1245,Jesper Lindstrøm,DEN,FW,Eint Frankfurt,de Bundesliga,23-313,2000,0.9,26.7,35.6,75.0,426.7,30.0,11.1,14.4,76.9,14.4,16.7,86.7,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,1.11,0.00,1.11,https://fbref.com/en/players/37dc1a48/Jesper-Lindstrom,37dc1a48,Big 5 combined
1246,Karol Linetty,POL,MF,Torino,it Serie A,28-340,1995,8.5,35.9,41.8,85.9,648.8,187.1,15.8,17.8,88.7,15.6,17.5,89.3,3.76,4.59,82.1,0.00,0.05,0.04,-0.05,0.94,4.47,0.47,0.00,5.53,https://fbref.com/en/players/d023d70f/Karol-Linetty,d023d70f,Big 5 combined
1247,Samuel Lino,BRA,"DF,MF",Atlético Madrid,es La Liga,24-016,1999,10.0,33.8,42.8,79.0,464.1,103.0,21.6,24.6,87.8,8.60,11.2,76.8,1.90,2.90,65.5,0.20,0.27,0.16,-0.07,1.50,1.40,1.30,0.20,3.00,https://fbref.com/en/players/2a295d33/Samuel-Lino,2a295d33,Big 5 combined
1248,Pol Lirola,ESP,"DF,MF",Frosinone,it Serie A,26-148,1997,4.6,38.7,52.6,73.6,615.7,181.5,20.7,24.1,85.6,14.3,18.7,76.7,2.83,6.52,43.3,0.22,0.11,0.07,0.11,1.30,2.39,1.09,0.43,4.13,https://fbref.com/en/players/ff800ed8/Pol-Lirola,ff800ed8,Big 5 combined
1249,Marcin Listkowski,POL,FW,Lecce,it Serie A,25-332,1998,0.1,30.0,30.0,100.0,360.0,40.0,10.0,10.0,100.0,10.0,10.0,100.0,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,10.0,https://fbref.com/en/players/a3695ac2/Marcin-Listkowski,a3695ac2,Big 5 combined
1250,Valentino Livramento,ENG,DF,Newcastle Utd,eng Premier League,21-057,2002,7.8,42.1,47.9,87.7,595.9,157.7,26.9,28.6,94.2,12.3,14.4,85.7,1.92,2.95,65.2,0.00,0.05,0.05,-0.05,0.64,3.08,1.41,0.38,3.46,https://fbref.com/en/players/afed6722/Valentino-Livramento,afed6722,Big 5 combined
1251,Dejan Ljubicic,AUT,"MF,FW",Köln,de Bundesliga,26-092,1997,12.3,32.7,41.2,79.3,511.1,133.2,16.3,18.9,86.6,12.9,15.4,83.7,2.28,3.66,62.2,0.00,0.11,0.08,-0.11,0.81,2.11,0.73,0.16,4.15,https://fbref.com/en/players/c455a2b2/Dejan-Ljubicic,c455a2b2,Big 5 combined
1252,Javier Llabrés,ESP,"MF,FW",Mallorca,es La Liga,21-119,2002,1.5,20.0,33.3,60.0,320.7,56.7,8.00,11.3,70.6,8.67,14.0,61.9,2.00,4.67,42.9,0.00,0.13,0.13,-0.13,2.00,0.00,0.67,0.67,0.67,https://fbref.com/en/players/38b0cf42/Javier-Llabres,38b0cf42,Big 5 combined
