Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
523,Gastón Silva,URU,DF,Puebla,28,1994,30.7,38.9,48.2,80.6,796.0,343.2,13.4,14.8,90.7,19.6,22.1,88.8,5.60,10.1,55.7,0.10,0.04,0.03,0.06,0.46,2.70,0.29,0.20,2.87,https://fbref.com/en/players/47d493c3/Gaston-Silva,47d493c3,Liga MX
524,Jordan Silva,MEX,"DF,MF",Cruz Azul,28,1994,1.1,62.7,74.5,84.1,1100.9,405.5,30.0,32.7,91.7,25.5,29.1,87.5,6.36,10.0,63.6,0.00,0.00,0.00,0.00,0.00,2.73,0.00,0.00,3.64,https://fbref.com/en/players/9a158620/Jordan-Silva,9a158620,Liga MX
525,Jordan Silva,MEX,DF,Querétaro,28,1994,12.8,38.7,47.3,81.8,928.0,391.8,8.05,9.77,82.4,21.6,23.8,90.8,8.83,12.8,68.9,0.00,0.03,0.01,-0.03,0.31,2.11,0.00,0.00,1.88,https://fbref.com/en/players/9a158620/Jordan-Silva,9a158620,Liga MX
526,Maximiliano Silvera,URU,FW,FC Juárez,24,1997,5.4,17.8,23.1,76.8,269.3,31.5,9.81,11.7,84.1,5.93,6.85,86.5,1.30,2.04,63.6,0.00,0.15,0.17,-0.15,1.48,1.67,0.00,0.00,1.11,https://fbref.com/en/players/e3b9cc57/Maximiliano-Silvera,e3b9cc57,Liga MX
527,Maximiliano Silvera,URU,"FW,MF",Necaxa,24,1997,5.3,16.2,24.0,67.7,236.0,54.5,10.2,11.7,87.1,5.09,7.36,69.2,0.57,1.32,42.9,0.19,0.02,0.04,0.17,0.57,2.45,0.38,0.00,2.08,https://fbref.com/en/players/e3b9cc57/Maximiliano-Silvera,e3b9cc57,Liga MX
528,Alan Soñora,USA,"MF,FW",FC Juárez,23,1998,3.7,40.0,50.5,79.1,769.2,250.5,15.9,17.3,92.2,18.1,20.5,88.2,5.41,10.5,51.3,0.27,0.22,0.16,0.05,2.70,5.95,0.81,0.27,8.11,https://fbref.com/en/players/4b71bfe4/Alan-Sonora,4b71bfe4,Liga MX
529,Joel Soñora,USA,"MF,FW",FC Juárez,25,1996,1.2,36.7,50.0,73.3,512.5,191.7,24.2,28.3,85.3,9.17,12.5,73.3,2.50,7.50,33.3,0.83,0.25,0.17,0.58,1.67,3.33,1.67,1.67,5.83,https://fbref.com/en/players/208eb5fd/Joel-Sonora,208eb5fd,Liga MX
530,Gonzalo Sosa,ARG,FW,Mazatlán,33,1989,9.0,11.6,17.6,65.8,146.3,34.9,6.44,9.33,69.0,3.56,5.00,71.1,0.11,0.56,20.0,0.11,0.09,0.07,0.02,1.33,0.89,0.44,0.00,1.89,https://fbref.com/en/players/b86a76dd/Gonzalo-Sosa,b86a76dd,Liga MX
531,Sebastián Sosa,URU,GK,UNAM,35,1986,12.0,22.9,32.6,70.3,668.1,536.0,4.33,4.33,100.0,10.7,10.9,97.7,7.92,17.3,45.7,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,https://fbref.com/en/players/34074967/Sebastian-Sosa,34074967,Liga MX
532,Yeferson Soteldo,VEN,"FW,MF",UANL,25,1997,0.4,80.0,100.0,80.0,1112.5,280.0,47.5,52.5,90.5,20.0,27.5,72.7,7.50,10.0,75.0,0.00,0.75,1.75,-0.75,10.0,0.00,12.5,5.00,10.0,https://fbref.com/en/players/bbb6c951/Yeferson-Soteldo,bbb6c951,Liga MX
533,Leonardo Suárez,ARG,MF,Santos,26,1996,8.3,29.6,41.3,71.7,547.6,222.9,12.5,15.3,81.9,12.7,15.3,82.7,3.73,8.55,43.7,0.24,0.19,0.18,0.05,2.17,4.82,2.17,0.72,6.27,https://fbref.com/en/players/25c72b36/Leonardo-Suarez,25c72b36,Liga MX
534,Leonardo Suárez,ARG,"MF,FW",América,26,1996,7.6,38.3,51.4,74.4,679.1,156.7,18.8,20.9,89.9,14.2,18.0,78.8,4.87,10.7,45.7,0.13,0.28,0.26,-0.14,2.24,3.95,1.45,0.53,4.08,https://fbref.com/en/players/25c72b36/Leonardo-Suarez,25c72b36,Liga MX
535,Christian Tabó,URU,"FW,MF",Cruz Azul,28,1993,8.1,16.8,24.3,69.0,255.4,52.2,9.14,11.4,80.4,5.43,7.78,69.8,1.23,2.35,52.6,0.00,0.06,0.07,-0.06,0.99,0.62,1.11,0.62,2.10,https://fbref.com/en/players/d5c24d20/Christian-Tabo,d5c24d20,Liga MX
